id	group	title	status	intervention	finding	section
R01	模型与表示	稀疏路由与前缀记忆	条件性结果	比较稀疏访问、容量及共同初始化。	局部变化未形成稳定的广泛优势；不能以更少活跃参数替代能力比较。	sec:frontier
R02	模型与表示	字符、子词与形态通路	条件性结果	将词面辅助结构与容量和查表参照区分。	有限设置中的表面信息收益尚未成为跨种子的广泛优势。	sec:frontier
R03	模型与表示	整词与 token 遮盖	实验结果	固定训练参照比较遮盖粒度，观察配对种子和分项。	粒度改变任务取舍，支持具体训练选择，不支持对所有能力的一致排序。	sec:frontier
R04	模型与表示	骨干结构与批量控制	实验结果	比较 BERT 与 DeBERTa 风格组合，并检查批量差异。	晚期组合优势不能只由批量解释；位置相关部件尚未被逐项独立归因。	sec:frontier
R05	模型与表示	递归式自回归训练	条件性结果	复现递归训练方案并完成相应评测，检查词覆盖。	该设置未达到领先组合；词覆盖差异不足以解释全部性能差异。	sec:frontier
R06	模型与表示	词表、深宽与预算	实验结果	比较不同词表和深宽配置，区分原型与合法重新训练。	更高的分词压缩率没有自动形成稳定收益；需同时计入实际训练预算。	sec:frontier
R07	模型与表示	频率门控与细粒度表示	探索性构造	让粗粒度词表示借用细粒度单元，并检查零门控极限。	极限实现符合预期，已训练模型未更强；其他门控和种子仍属候选。	sec:frontier
R08	模型与表示	成熟配方的组件比较	实验结果	考察深宽、词表、LAMB 与长度和遮盖课程。	单一组件未复现完整组合；研究对象应包含组件间的共同作用。	sec:frontier
R09	模型与表示	门控前馈与层权重候选	尚未运行	保留 GEGLU、注意力门控及层加权的设计方向。	记录为候选而非已验证方法，不计入模型实证贡献。	sec:frontier
R10	经验构造与压缩	对齐重述与对应关系	实验结果	比较正确对应、错误对应、匹配来源、重复及分窗。	关系组织改变学习，但收益随任务而变；正文的后续研究进一步辨明目标类型。	sec:relation
R11	经验构造与压缩	紧凑视图与预算再投入	模型方法	压缩第二视图，把释放词数用于更多配对。	增加经验覆盖并形成实际前沿路线；压缩和扩容是需要分辨的两种作用。	sec:frontier
R12	经验构造与压缩	邻接、重复与呈现布局	实验结果	比较内容与相邻关系，检查成块和交替呈现。	不同能力方向不一；分词器和窗口设置必须一致。	sec:relation
R13	经验构造与压缩	抽取压缩与表达连接	探索性构造	构造平衡覆盖、较宽覆盖及词汇范围受控的连接文本。	词覆盖可以检查，但不能替代语义关系与完整模型收益。	sec:experience_branch
R14	经验构造与压缩	规则式改写	条件性结果	比较真配对、同实体错误对应、来源及打乱参照。	短程出现能力取舍，未形成联合增益；可见 token 数仍需匹配。	sec:experience_branch
R15	学习目标与监督分配	实体提及一致性	条件性结果	比较真实对应、错误对应与普通整词遮盖。	局部真实对应优势未稳定转化为广泛能力收益。	sec:principles
R16	学习目标与监督分配	反事实与跨跨度监督	实验结果	比较真实、错误及无关系条件，检查已有能力。	可识别的关系效应与从头学会关系是不同结论。	sec:principles
R17	学习目标与监督分配	状态文本与定向遮盖	条件性结果	围绕状态选择构造训练文本和目标位置对照。	目标行为可以改善，同时损伤广泛语言表现，促成新学习与保持的联合检验。	sec:guided
R18	学习目标与监督分配	辅助因果目标	条件性结果	匹配移位目标与梯度范数，比较批量替换和辅助学习。	方向相近的梯度没有保证完整模型改善，局部梯度关系不是效果定律。	sec:measurement_branch
R19	学习目标与监督分配	自采样替换词检测	条件性结果	加入检测目标并分解其梯度影响。	短程综合读数出现收益与代价，晚期整体有效性未完成确认。	sec:measurement_branch
R20	学习目标与监督分配	目标加权与监督覆盖	条件性结果	比较按词均值、覆盖下限与来源外内容加权。	局部拟合提高可能伴随广泛代价；等目标预算替换仍需单独检验。	sec:principles
R21	学习目标与监督分配	关系枢纽与反事实线索	条件性结果	匹配监督量，区分关系选择和直接检索。	若任务仍可由检索解决，不能据高分证明新的状态选择计算。	sec:principles
R22	学习目标与监督分配	梯度交换与投影	探索性构造	使用中心化四条件比较、方向投影和负例。	已观察局部梯度差异，尚未建立长期训练收益。	sec:measurement_branch
R23	学习目标与监督分配	连贯上下文边际损失	条件性结果	与破坏上下文的负例比较，检查晚期续训。	未得到预期行为分离；零系数匹配未完成，不能作完整单因素归因。	sec:measurement_branch
R24	课程与学习动力学	自适应遮盖粒度	实验结果	在训练轨迹上比较数据与目标的组合。	早期排序可能反转，需要把学习阶段纳入方案判断。	sec:frontier
R25	课程与学习动力学	数据顺序与发展式课程	实验结果	使用相同内容随机顺序与发展式顺序，并修正截断。	混合方案的有效性不等于课程顺序具有普遍优势。	sec:frontier
R26	课程与学习动力学	上下文长度上限	条件性结果	保持配对剂量，比较长度限制和评测长度。	特定 Overall 变化受 AoA 参照影响，七项没有同步改善。	sec:measurement_branch
R27	课程与学习动力学	优化器与成熟状态	实验结果	比较 AdamW、LAMB、成熟阶段切换及信赖比。	优化过程中局部数值变化尚不能预测晚期模型结果。	sec:measurement_branch
