arch,arm,checkpoint,seed,role,probe_family,probe_id,effect_no_all_relevant_updates,effect_no_initial_qbox,effect_no_last_relevant_update,entity_type,irrelevant_ops,item_index,margin_full,margin_no_all_relevant_updates,margin_no_initial_qbox,margin_no_last_relevant_update,prefix_words_full,query_box,relevant_updates,reported_numops,stale_idx,total_ops,uid
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:0:regular_2_ops:7,-4.009799957275391,0.9828454852104187,-1.9140068292617798,regular,1,7,4.366992563009262,0.35719260573387146,5.349838048219681,2.4529857337474823,89,0,2,2,1,3,regular_2_ops
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:1000:move_contents_3_ops:54,-2.2161827087402344,-0.2927985191345215,0.0691671371459961,move_contents,5,54,-5.243752479553223,-7.459935188293457,-5.536550998687744,-5.174585342407227,136,5,3,3,1,8,move_contents_3_ops
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:1001:move_contents_3_ops:56,-9.183586120605469,-0.36316490173339844,-0.49833106994628906,move_contents,5,56,9.600000381469727,0.4164142608642578,9.236835479736328,9.101669311523438,111,2,3,3,1,8,move_contents_3_ops
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:1002:move_contents_3_ops:71,-10.219377547502518,-1.8086628913879395,1.2340087890625,move_contents,5,71,0.5907187461853027,-9.628658801317215,-1.2179441452026367,1.8247275352478027,134,5,3,3,1,8,move_contents_3_ops
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:1003:move_contents_3_ops:78,1.2341012954711914,-0.42350292205810547,0.766901969909668,move_contents,5,78,-1.559208869934082,-0.3251075744628906,-1.9827117919921875,-0.7923069000244141,119,2,3,3,1,8,move_contents_3_ops
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:1004:move_contents_3_ops:91,0.11330461502075195,-0.9183750152587891,0.6705846786499023,move_contents,5,91,1.1978974342346191,1.311202049255371,0.2795224189758301,1.8684821128845215,124,2,3,3,1,8,move_contents_3_ops
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:1005:move_contents_3_ops:97,-3.7358805537223816,12.63861334323883,-1.430795669555664,move_contents,7,97,-4.619746506214142,-8.355627059936523,8.018866837024689,-6.050542175769806,149,4,2,3,1,9,move_contents_3_ops
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:1006:move_contents_3_ops:108,-0.7835063934326172,0.12701129913330078,-0.5735721588134766,move_contents,6,108,1.4513177871704102,0.667811393737793,1.578329086303711,0.8777456283569336,143,0,3,3,1,9,move_contents_3_ops
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:1007:move_contents_3_ops:109,0.16619205474853516,0.8810715675354004,0.3613405227661133,move_contents,7,109,-5.819870471954346,-5.6536784172058105,-4.938798904418945,-5.458529949188232,119,4,2,3,1,9,move_contents_3_ops
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:1008:move_contents_3_ops:111,0.7623405456542969,0.7551093101501465,0.3859720230102539,move_contents,7,111,-1.9349098205566406,-1.1725692749023438,-1.1798005104064941,-1.5489377975463867,130,0,2,3,1,9,move_contents_3_ops
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:1009:move_contents_3_ops:112,-3.3908236026763916,-3.5000479221343994,-0.5787200927734375,move_contents,6,112,-3.8672266006469727,-7.258050203323364,-7.367274522781372,-4.44594669342041,128,2,3,3,1,9,move_contents_3_ops
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:100:regular_2_ops:234,-0.5344629287719727,0.0614781379699707,0.6422204971313477,regular,9,234,-4.074795722961426,-4.609258651733398,-4.013317584991455,-3.432575225830078,127,1,2,2,1,11,regular_2_ops
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:1010:move_contents_3_ops:122,-1.2187633514404297,0.48535633087158203,0.0922994613647461,move_contents,6,122,-0.04086589813232422,-1.259629249572754,0.4444904327392578,0.051433563232421875,149,5,3,3,1,9,move_contents_3_ops
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:1011:move_contents_3_ops:123,-0.7203302383422852,0.6378612518310547,-0.16013717651367188,move_contents,7,123,-1.6674060821533203,-2.3877363204956055,-1.0295448303222656,-1.8275432586669922,127,4,2,3,1,9,move_contents_3_ops
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:1012:move_contents_3_ops:127,-7.593651711940765,-1.591670572757721,-2.837011754512787,move_contents,6,127,9.726350724697113,2.1326990127563477,8.134680151939392,6.889338970184326,140,1,3,3,1,9,move_contents_3_ops
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:1013:move_contents_3_ops:134,-1.9936861991882324,-0.9405946731567383,0.6329736709594727,move_contents,6,134,-2.3455123901367188,-4.339198589324951,-3.286107063293457,-1.712538719177246,145,5,3,3,1,9,move_contents_3_ops
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:1014:move_contents_3_ops:140,-1.2862372398376465,3.332488536834717,-2.947054862976074,move_contents,7,140,0.22561120986938477,-1.0606260299682617,3.5580997467041016,-2.7214436531066895,122,3,2,3,1,9,move_contents_3_ops
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:1015:move_contents_3_ops:151,-10.064268589019775,-0.01445150375366211,-5.526169300079346,move_contents,7,151,2.872832775115967,-7.191435813903809,2.8583812713623047,-2.653336524963379,137,2,3,3,1,10,move_contents_3_ops
D182,D182_R_43022,chck_90M,43022,R,entity_gold_stale_cue_ablation,entityabl:1016:move_contents_3_ops:153,-5.608624696731567,-0.8790168762207031,0.4733896255493164,move_contents,7,153,0.8472938537597656,-4.761330842971802,-0.0317230224609375,1.320683479309082,136,3,3,3,1,10,move_contents_3_ops
