stream_alias,stream_path,stream_row_index,stream_source,stream_example_id,stream_words,hit_type,heldout_row_id,screen,inherited_aln_pair_text_hit_row,text_preview
current_base_compact_view_reinvest,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/cleanqwen_fineweb_compact_view_reinvest_10M.jsonl,3049,childes,15064,160,norm_text+source_example_id,heldout6992:row:childes:15064,heldout6992,False,'bout if you take the other k kids to school and let them get out and then come back and get him. *CHI: why? *MOT: don't that sound better? *CHI: but what's going to be their school? *MOT: we gotta build them a school. *
current_base_compact_view_reinvest,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/cleanqwen_fineweb_compact_view_reinvest_10M.jsonl,3052,open_subtitles,40982,160,norm_text+source_example_id,heldout6992:row:open_subtitles:40982,heldout6992,False,"down. Trust me,I wod uike to. It's not my call. Our deal is off the books. My boss isn't goingto allocate any resources. Look,if riddickis too much for you,you're free to walk away. And then you'll seeme in court,right? "
current_base_compact_view_reinvest,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/cleanqwen_fineweb_compact_view_reinvest_10M.jsonl,3068,switchboard,62379,160,norm_text+source_example_id,heldout6992:row:switchboard:62379,heldout6992,False,"happen, I'm sure they would all of a sudden band together just for the sake of, for the sake of, uh, of, of unity against us or something if, if, if need be. B: Yeah, A: But, B: Actually I feel kind of sorry for them rig"
current_base_compact_view_reinvest,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/cleanqwen_fineweb_compact_view_reinvest_10M.jsonl,3098,childes,16603,160,norm_text+source_example_id,heldout6992:row:childes:16603,heldout6992,False,peanut butter sandwiches. *MOT: aren't you sick of those yet? *CHI: no [laughs]. *CHI: [snorts]. *BRO: www [humming] xxx. *BRO: he don't want xxx he willn't turn. %int: sing song *BRO: I'm a xxx xxx. %int: sing song *MOT
current_base_compact_view_reinvest,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/cleanqwen_fineweb_compact_view_reinvest_10M.jsonl,3103,simple_wiki,57497,160,norm_text+source_example_id,heldout6992:row:simple_wiki:57497,heldout6992,False,"it. c) A long associated myth with this temple temple is that the shadow of the main structure does not fall on the ground. However, this has been proven wrong by scientists. d) The statue of Nandi at the entrance of the"
current_base_compact_view_reinvest,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/cleanqwen_fineweb_compact_view_reinvest_10M.jsonl,3104,gutenberg,23000,160,norm_text+source_example_id,heldout6992:row:gutenberg:23000,heldout6992,False,"even when they are little bits of things!” JANUARY 25: Mac, the Dog “There was a dog named Mac,” said daddy, “a beautiful Airedale dog and he belonged to two young girls named Janet and Mildred. They were much excited fo"
current_base_compact_view_reinvest,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/cleanqwen_fineweb_compact_view_reinvest_10M.jsonl,3114,gutenberg,32752,160,norm_text+source_example_id,heldout6992:row:gutenberg:32752,heldout6992,True,"a diversion by starting the rival air of-- ""Home for the holidays here we be, Out of the clutches of L.L.D."" ""'Tisn't home for the holidays,"" objected the smallest girl but one. ""Miss Campbell's never going to school no "
current_base_compact_view_reinvest,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/cleanqwen_fineweb_compact_view_reinvest_10M.jsonl,3124,open_subtitles,46710,160,norm_text+source_example_id,heldout6992:row:open_subtitles:46710,heldout6992,True,"together. I'm always searching for you, always searching for your figure. At the intersection, in my dreams. Even though I know you can't be there. If miracles do happen, I want to show you right now the new dawn, who I'"
current_base_compact_view_reinvest,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/cleanqwen_fineweb_compact_view_reinvest_10M.jsonl,3137,childes,21970,160,norm_text+source_example_id,heldout6992:row:childes:21970,heldout6992,False,of that car. [nina puts one car on top of another.] *MOT: no it shouldn't be. *MOT: should it be in front or behind? *CHI: behind. *MOT: you put it behind. *CHI: no you put it behind. *MOT: okay. *CHI: another one behind
current_base_compact_view_reinvest,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/cleanqwen_fineweb_compact_view_reinvest_10M.jsonl,3149,open_subtitles,39019,160,norm_text+source_example_id,heldout6992:row:open_subtitles:39019,heldout6992,False,"arm for the privilege. People like you, maybe? I've seen it. Come along. The master doesn't like to be kept waiting. Shift it! Is he...? Frank, I mean, is he your husband? The master is not yet married. Nor do I think he"
