stream_alias,stream_path,stream_row_index,stream_source,stream_example_id,stream_words,hit_type,heldout_row_id,screen,inherited_aln_pair_text_hit_row,text_preview
compact_experience_DUP,experiments/archive/compact_experience/data/selected_original_dup_all_control/training_corpora/selected_original_dup_all_10M.jsonl,453,official_filler_source_matched::gutenberg,958140,160,norm_text,heldout6992:row:gutenberg:23393,heldout6992,False,"Brothers “All the dust in the world belongs to the Family of the Dust Brothers—just as every little Toad or Frog belongs to the Toad or Frog family,” said daddy. “One day not long ago, a group of the Dust Brothers had mo"
compact_experience_DUP,experiments/archive/compact_experience/data/selected_original_dup_all_control/training_corpora/selected_original_dup_all_10M.jsonl,453,official_filler_source_matched::gutenberg,958140,160,norm_text,heldout2647:row:gutenberg:23393,heldout2647,False,"Brothers “All the dust in the world belongs to the Family of the Dust Brothers—just as every little Toad or Frog belongs to the Toad or Frog family,” said daddy. “One day not long ago, a group of the Dust Brothers had mo"
compact_experience_DUP,experiments/archive/compact_experience/data/selected_original_dup_all_control/training_corpora/selected_original_dup_all_10M.jsonl,23618,official_filler_source_matched::childes,950936,160,norm_text,heldout6992:row:childes:5105,heldout6992,False,*MOT: bread. *CHI: huh? *MOT: bread. *CHI: xxx lobster? *MOT: xxx lobster in it. *MOT: yep. *CHI: Sue right now I want lobster. *MOT: do you? *MOT: alright. *CHI: I want lobster xxx. *MOT: oh you don't want this one. *MO
compact_experience_DUP,experiments/archive/compact_experience/data/selected_original_dup_all_control/training_corpora/selected_original_dup_all_10M.jsonl,23618,official_filler_source_matched::childes,950936,160,norm_text,heldout2647:row:childes:5105,heldout2647,False,*MOT: bread. *CHI: huh? *MOT: bread. *CHI: xxx lobster? *MOT: xxx lobster in it. *MOT: yep. *CHI: Sue right now I want lobster. *MOT: do you? *MOT: alright. *CHI: I want lobster xxx. *MOT: oh you don't want this one. *MO
compact_experience_DUP,experiments/archive/compact_experience/data/selected_original_dup_all_control/training_corpora/selected_original_dup_all_10M.jsonl,31990,official_filler_source_matched::childes,974437,160,norm_text,heldout6992:row:childes:12717,heldout6992,False,your [Mot's?] Dad useta make it. [break in tape] *AUN: like it? *AUN: Sis ate all of that zucchini! *MOT: yeah? *AUN: you want some more? *AUN: you don't hafta. *AUN: wait until you're done and see if you want more. [bre
compact_experience_DUP,experiments/archive/compact_experience/data/selected_original_dup_all_control/training_corpora/selected_original_dup_all_10M.jsonl,31990,official_filler_source_matched::childes,974437,160,norm_text,heldout2647:row:childes:12717,heldout2647,False,your [Mot's?] Dad useta make it. [break in tape] *AUN: like it? *AUN: Sis ate all of that zucchini! *MOT: yeah? *AUN: you want some more? *AUN: you don't hafta. *AUN: wait until you're done and see if you want more. [bre
compact_experience_DUP,experiments/archive/compact_experience/data/selected_original_dup_all_control/training_corpora/selected_original_dup_all_10M.jsonl,44502,official_filler_source_matched::childes,986585,160,norm_text,heldout6992:row:childes:6524,heldout6992,False,what are you doing? *CHI: here yours. *URS: thank you. *CHI: you welcome. *CHI: xxx here we go. *MOT: I think he said here we go. *CHI: look. [goes in kitchen to see baby] *MOT: he's sleeping. *CHI: he's slipping. *CHI: 
compact_experience_DUP,experiments/archive/compact_experience/data/selected_original_dup_all_control/training_corpora/selected_original_dup_all_10M.jsonl,44502,official_filler_source_matched::childes,986585,160,norm_text,heldout2647:row:childes:6524,heldout2647,False,what are you doing? *CHI: here yours. *URS: thank you. *CHI: you welcome. *CHI: xxx here we go. *MOT: I think he said here we go. *CHI: look. [goes in kitchen to see baby] *MOT: he's sleeping. *CHI: he's slipping. *CHI: 
compact_experience_DUP,experiments/archive/compact_experience/data/selected_original_dup_all_control/training_corpora/selected_original_dup_all_10M.jsonl,50036,official_filler_source_matched::childes,985161,160,norm_text,heldout6992:row:childes:9869,heldout6992,False,breath [looks through the plastic tray full of objects] *CHI: [stops trying to affix the yellow checked triangle to the tower and puts it aside] *MOT: oh there's two bars [silver sticks] here. *CHI: cool. [reaches into t
compact_experience_DUP,experiments/archive/compact_experience/data/selected_original_dup_all_control/training_corpora/selected_original_dup_all_10M.jsonl,50036,official_filler_source_matched::childes,985161,160,norm_text,heldout2647:row:childes:9869,heldout2647,False,breath [looks through the plastic tray full of objects] *CHI: [stops trying to affix the yellow checked triangle to the tower and puts it aside] *MOT: oh there's two bars [silver sticks] here. *CHI: cool. [reaches into t
compact_experience_DUP,experiments/archive/compact_experience/data/selected_original_dup_all_control/training_corpora/selected_original_dup_all_10M.jsonl,63426,official_filler_source_matched::childes,990824,160,norm_text,heldout6992:row:childes:13902,heldout6992,True,and it can go xxx. *CHI: see it gets very heavy. *MOT: very heavy huh? *CHI: see it gets... *CHI: see it gets very heavy what you pull. *MOT: mhm. *CHI: hey that thing won't come out! *MOT: that's 'cause that's not a mag
