set,pair_id,original_id,source,example_id,original_words_field,rewrite_words_field,pair_words_field,base_same_source_example_rows,base_contains_exact_normalized_original,base_contains_count,base_match_sources,base_match_example_ids,replaced_in_dose21_by_same_source_example,replaced_in_dose25_by_same_source_example,selection_role
dose25_extra,dose56_rw2s1_007609,rw2s1_007609,simple_wiki,53048,18,17,35,1,True,1,simple_wiki,53048,False,True,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw2s1_011922,rw2s1_011922,gutenberg,24847,31,30,61,0,False,0,,,False,False,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw2s0_022935,rw2s0_022935,open_subtitles,40781,18,23,41,0,False,0,,,False,False,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw_007941,rw_007941,gutenberg,23126,13,13,26,0,False,0,,,False,False,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw2s0_002655,rw2s0_002655,bnc_spoken,3609,22,21,43,1,True,1,bnc_spoken,3609,True,True,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw2s0_011720,rw2s0_011720,gutenberg,37408,22,26,48,1,True,1,gutenberg,37408,False,False,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw2s0_024921,rw2s0_024921,gutenberg,36885,19,19,38,0,False,0,,,False,False,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw2s0_013082,rw2s0_013082,gutenberg,27876,42,33,75,0,False,0,,,False,False,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw2s0_020125,rw2s0_020125,simple_wiki,59514,42,35,77,1,True,1,simple_wiki,59514,False,True,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw2s1_020143,rw2s1_020143,open_subtitles,51686,21,23,44,1,True,1,open_subtitles,51686,True,True,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw2s0_031981,rw2s0_031981,open_subtitles,44190,20,19,39,0,False,0,,,False,False,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw2s1_001805,rw2s1_001805,simple_wiki,53208,18,16,34,0,False,0,,,False,False,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw_038543,rw_038543,childes,16178,17,14,31,1,True,1,childes,16178,True,True,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw2s0_025482,rw2s0_025482,gutenberg,32150,19,22,41,1,True,1,gutenberg,32150,True,True,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw_040222,rw_040222,childes,18431,14,12,26,1,True,1,childes,18431,True,True,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw2s1_012512,rw2s1_012512,open_subtitles,48624,18,14,32,1,True,1,open_subtitles,48624,True,True,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw2s1_011494,rw2s1_011494,open_subtitles,42707,22,25,47,1,True,1,open_subtitles,42707,False,False,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw_008169,rw_008169,bnc_spoken,829,17,20,37,1,True,1,bnc_spoken,829,True,True,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw2s0_000798,rw2s0_000798,gutenberg,24511,25,29,54,1,True,1,gutenberg,24511,True,True,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw_001656,rw_001656,simple_wiki,61539,14,16,30,0,False,0,,,False,False,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw_021440,rw_021440,childes,15282,14,14,28,1,True,1,childes,15282,True,True,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw2s0_013057,rw2s0_013057,gutenberg,24942,26,24,50,1,True,1,gutenberg,24942,True,True,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw_038122,rw_038122,open_subtitles,41737,12,12,24,1,True,1,open_subtitles,41737,True,True,dose25_clean_shard0_extra_topup
dose25_extra,dose56_rw2s0_004574,rw2s0_004574,open_subtitles,46568,26,24,50,1,True,1,open_subtitles,46568,True,True,dose25_clean_shard0_extra_topup
