set,mode,source,pairs,present_pairs,present_pair_frac,pair_words_per_pass,original_words_per_pass,rewrite_words_per_pass,present_original_words_per_pass,mean_replacement_passes_among_present_pairs
dose21,dose21,bnc_spoken,1093,843,0.7712717291857274,57166,29779,27387,22945,0.6631079478054567
dose21,dose21,childes,1972,1824,0.9249492900608519,68063,34365,33698,31678,0.6842105263157895
dose21,dose21,gutenberg,3712,2710,0.7300646551724138,207513,105933,101580,77823,0.6612546125461255
dose21,dose21,open_subtitles,1056,851,0.8058712121212122,42735,21332,21403,17165,0.6650998824911868
dose21,dose21,simple_wiki,1422,990,0.6962025316455697,65479,32571,32908,22744,0.6404040404040404
dose21,dose21,switchboard,44,38,0.8636363636363636,2244,1184,1060,1035,0.9473684210526315
dose21,dose25,bnc_spoken,1093,843,0.7712717291857274,57166,29779,27387,22945,1.2455516014234875
dose21,dose25,childes,1972,1824,0.9249492900608519,68063,34365,33698,31678,1.3146929824561404
dose21,dose25,gutenberg,3712,2710,0.7300646551724138,207513,105933,101580,77823,1.2538745387453873
dose21,dose25,open_subtitles,1056,851,0.8058712121212122,42735,21332,21403,17165,1.2667450058754406
dose21,dose25,simple_wiki,1422,990,0.6962025316455697,65479,32571,32908,22744,1.2585858585858587
dose21,dose25,switchboard,44,38,0.8636363636363636,2244,1184,1060,1035,1.5789473684210527
dose25_extra,dose25,bnc_spoken,906,687,0.7582781456953642,46571,24264,22307,18505,1.275109170305677
dose25_extra,dose25,childes,1774,1666,0.939120631341601,61603,31063,30540,29082,1.3019207683073228
dose25_extra,dose25,gutenberg,3431,2550,0.743223549985427,194446,99400,95046,73663,1.2674509803921568
dose25_extra,dose25,open_subtitles,925,724,0.7827027027027027,37158,18554,18604,14377,1.3121546961325967
dose25_extra,dose25,simple_wiki,1265,871,0.6885375494071146,58278,29080,29198,19986,1.2583237657864523
dose25_extra,dose25,switchboard,39,36,0.9230769230769231,1944,1007,937,933,1.5277777777777777
dose25_superset,dose25,bnc_spoken,1999,1530,0.7653826913456728,103737,54043,49694,41450,1.2588235294117647
dose25_superset,dose25,childes,3746,3490,0.9316604378003204,129666,65428,64238,60760,1.308595988538682
dose25_superset,dose25,gutenberg,7143,5260,0.7363852722945541,401959,205333,196626,151486,1.2604562737642586
dose25_superset,dose25,open_subtitles,1981,1575,0.7950530035335689,79893,39886,40007,31542,1.2876190476190477
dose25_superset,dose25,simple_wiki,2687,1861,0.6925939709713435,123757,61651,62106,42730,1.2584631918323481
dose25_superset,dose25,switchboard,83,74,0.891566265060241,4188,2191,1997,1968,1.554054054054054
