set,pair_id,original_id,source,example_id,original_words_field,rewrite_words_field,pair_words_field,base_same_source_example_rows,base_contains_exact_normalized_original,base_contains_count,base_match_sources,base_match_example_ids,replaced_in_dose21_by_same_source_example,replaced_in_dose25_by_same_source_example,selection_role
dose21,dose56_rw2s1_013806,rw2s1_013806,childes,16186,30,29,59,1,True,1,childes,16186,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_003672,rw_003672,childes,8816,22,18,40,1,True,1,childes,8816,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_022227,rw2s1_022227,simple_wiki,58596,18,17,35,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_017498,rw_017498,childes,17061,13,15,28,1,True,1,childes,17061,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_008026,rw2s0_008026,simple_wiki,54880,18,21,39,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_000976,rw2s0_000976,gutenberg,27017,28,26,54,1,True,1,gutenberg,27017,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_007677,rw2s1_007677,simple_wiki,58982,20,22,42,1,True,1,simple_wiki,58982,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_012727,rw_012727,open_subtitles,45766,12,12,24,1,True,1,open_subtitles,45766,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_031144,rw2s0_031144,gutenberg,25659,37,38,75,1,True,1,gutenberg,25659,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_022878,rw2s0_022878,gutenberg,38461,25,19,44,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_030029,rw_030029,childes,12224,13,13,26,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_015192,rw2s0_015192,bnc_spoken,860,19,19,38,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_035453,rw_035453,childes,10863,13,14,27,1,True,1,childes,10863,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_004852,rw2s1_004852,gutenberg,37948,51,54,105,1,True,1,gutenberg,37948,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_030965,rw2s0_030965,gutenberg,31556,36,38,74,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_001816,rw2s0_001816,childes,13694,26,23,49,1,True,1,childes,13694,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_003818,rw2s0_003818,gutenberg,31070,20,15,35,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_024501,rw2s1_024501,gutenberg,33266,27,26,53,1,True,1,gutenberg,33266,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_011178,rw_011178,bnc_spoken,1198,13,14,27,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_020127,rw2s0_020127,gutenberg,25758,34,38,72,1,True,1,gutenberg,25758,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_003447,rw_003447,simple_wiki,56406,18,19,37,1,True,1,simple_wiki,56406,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_032701,rw2s1_032701,gutenberg,26519,18,23,41,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_018924,rw2s0_018924,gutenberg,37930,20,23,43,1,True,1,gutenberg,37930,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_041515,rw_041515,childes,4779,12,6,18,1,True,1,childes,4779,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_001747,rw2s1_001747,simple_wiki,62183,20,19,39,1,True,1,simple_wiki,62183,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_024876,rw_024876,childes,18836,15,12,27,1,True,1,childes,18836,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_027447,rw2s0_027447,gutenberg,31231,20,22,42,1,True,1,gutenberg,31231,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_014733,rw2s1_014733,open_subtitles,39921,42,36,78,1,True,1,open_subtitles,39921,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_020167,rw_020167,simple_wiki,53958,14,14,28,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_011945,rw_011945,open_subtitles,47160,13,13,26,1,True,1,open_subtitles,47160,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_009092,rw2s1_009092,gutenberg,35914,18,19,37,1,True,1,gutenberg,35914,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_001896,rw2s1_001896,gutenberg,28112,39,32,71,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_010251,rw2s1_010251,gutenberg,37293,44,38,82,1,True,1,gutenberg,37293,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_009507,rw2s0_009507,gutenberg,22694,37,32,69,1,True,1,gutenberg,22694,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_031311,rw2s1_031311,simple_wiki,61130,18,20,38,1,True,1,simple_wiki,61130,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_023047,rw2s1_023047,open_subtitles,45544,18,17,35,1,True,1,open_subtitles,45544,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_003982,rw2s0_003982,gutenberg,32697,26,27,53,1,True,1,gutenberg,32697,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_017614,rw2s1_017614,gutenberg,37687,28,29,57,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_014433,rw2s0_014433,switchboard,62368,22,20,42,1,True,1,switchboard,62368,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_032183,rw_032183,gutenberg,30700,27,24,51,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_009623,rw2s0_009623,bnc_spoken,3204,32,24,56,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_018136,rw2s0_018136,bnc_spoken,4191,33,31,64,1,True,1,bnc_spoken,4191,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_021763,rw2s1_021763,simple_wiki,54925,20,20,40,1,True,1,simple_wiki,54925,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_017597,rw2s1_017597,bnc_spoken,4256,18,16,34,1,True,1,bnc_spoken,4256,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_031478,rw2s1_031478,childes,18119,18,16,34,1,True,1,childes,18119,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_012175,rw2s1_012175,open_subtitles,52303,26,24,50,1,True,1,open_subtitles,52303,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_029557,rw2s0_029557,childes,14217,46,39,85,1,True,1,childes,14217,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_025144,rw2s0_025144,open_subtitles,41290,20,22,42,1,True,1,open_subtitles,41290,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_019419,rw2s0_019419,gutenberg,35527,35,36,71,1,True,1,gutenberg,35527,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_031618,rw2s1_031618,open_subtitles,47939,22,25,47,1,True,1,open_subtitles,47939,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_020957,rw2s1_020957,gutenberg,37532,30,28,58,1,True,1,gutenberg,37532,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_008236,rw2s1_008236,gutenberg,27162,18,16,34,1,True,1,gutenberg,27162,False,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_004942,rw2s1_004942,simple_wiki,54992,26,29,55,1,True,1,simple_wiki,54992,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_003686,rw2s0_003686,gutenberg,25856,32,27,59,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_031622,rw2s0_031622,open_subtitles,46354,28,23,51,1,True,1,open_subtitles,46354,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_004603,rw2s0_004603,gutenberg,36087,27,26,53,0,False,0,,,False,False,dose21_clean_shard1_all_or_exact
dose21,dose56_rw_009625,rw_009625,bnc_spoken,272,20,21,41,1,True,1,bnc_spoken,272,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_005956,rw2s0_005956,simple_wiki,57997,18,21,39,1,True,1,simple_wiki,57997,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s1_007886,rw2s1_007886,childes,16149,27,25,52,1,True,1,childes,16149,True,True,dose21_clean_shard1_all_or_exact
dose21,dose56_rw2s0_032146,rw2s0_032146,gutenberg,26776,29,29,58,1,True,1,gutenberg,26776,False,False,dose21_clean_shard1_all_or_exact
