global_step,epoch,stage_length,n_chunks,charged_words,active_tokens,masked_tokens,microbatches,cumulative_words
1,0,256,316,43415,61977,9236,5,43415
2,0,256,316,43768,62457,9466,5,87183
3,0,256,316,43267,61987,9522,5,130450
4,0,256,316,44036,62489,9402,5,174486
5,0,256,316,43672,62913,9485,5,218158
6,0,256,316,43797,63602,9610,5,261955
7,0,256,316,43875,63162,9295,5,305830
8,0,256,316,43949,63411,9594,5,349779
9,0,256,316,44217,63746,9576,5,393996
10,0,256,316,42024,60508,8914,5,436020
11,0,256,316,40937,59160,9139,5,476957
12,0,256,316,40578,59763,8832,5,517535
13,0,256,316,39856,58239,8773,5,557391
14,0,256,316,39243,57644,8509,5,596634
15,0,256,316,39111,57550,8666,5,635745
16,0,256,316,39167,57790,8826,5,674912
17,0,256,316,40290,58743,8896,5,715202
18,0,256,316,39152,57614,8716,5,754354
19,0,256,316,39998,58869,8805,5,794352
20,0,256,316,40369,58841,8713,5,834721
21,0,256,316,39243,57542,8672,5,873964
22,0,256,316,40224,58388,8734,5,914188
23,0,256,316,38651,56413,8545,5,952839
24,0,256,316,40527,59167,8628,5,993366
25,0,256,316,38823,57840,8786,5,1032189
26,0,256,316,39691,58613,8785,5,1071880
27,0,256,316,38404,56816,8333,5,1110284
28,0,256,316,38958,57173,8594,5,1149242
29,0,256,316,39336,57822,8810,5,1188578
30,0,256,316,38794,56843,8492,5,1227372
31,0,256,316,40041,58466,8611,5,1267413
32,0,256,316,40814,59738,8875,5,1308227
33,0,256,316,38274,56839,8320,5,1346501
34,0,256,316,38782,56695,8599,5,1385283
35,0,256,316,40360,58496,8917,5,1425643
36,0,256,316,40686,59595,8855,5,1466329
37,0,256,316,39684,58277,8761,5,1506013
38,0,256,316,37825,55853,8238,5,1543838
39,0,256,316,39337,57673,8783,5,1583175
40,0,256,316,39982,58963,9159,5,1623157
41,0,256,316,40634,59348,9147,5,1663791
42,0,256,316,38579,57552,8864,5,1702370
43,0,256,316,38996,57217,8516,5,1741366
44,0,256,316,39299,57195,8377,5,1780665
45,0,256,316,40388,59222,8959,5,1821053
46,0,256,316,38477,57322,8695,5,1859530
47,0,256,316,38923,57903,8827,5,1898453
48,0,256,316,38912,57107,8757,5,1937365
49,0,256,316,39921,58332,8719,5,1977286
50,0,256,316,37758,56549,8544,5,2015044
51,0,256,316,40651,59169,9016,5,2055695
52,0,256,316,40574,58914,8842,5,2096269
53,0,256,316,40048,58285,8638,5,2136317
54,0,256,316,37494,55959,8495,5,2173811
55,0,256,316,39055,57510,8452,5,2212866
56,0,256,316,39896,58599,8609,5,2252762
57,0,256,316,39714,58327,8747,5,2292476
58,0,256,316,38790,56706,8557,5,2331266
59,0,256,316,40449,59544,8988,5,2371715
60,0,256,316,39229,57786,8733,5,2410944
