checkpoint,family,view_present,repeat_present,permuted_present,view_per_target,repeat_per_target,permuted_per_target
chck_10M,EWoK,True,True,False,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_10M.json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_10M.json,experiments/archive/frontier_consolidation/data/permuted_entity_ewok_eval/eval/per_target/max_permuted_seed43022_chck_10M.json
chck_10M,Entity,True,True,False,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_10M.json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_10M.json,experiments/archive/frontier_consolidation/data/permuted_entity_ewok_eval/eval/per_target/max_permuted_seed43022_chck_10M.json
chck_20M,EWoK,True,True,False,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_20M.json,experiments/archive/frontier_consolidation/data/permuted_entity_ewok_eval/eval/per_target/max_permuted_seed43022_chck_20M.json
chck_20M,Entity,True,True,False,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_20M.json,experiments/archive/frontier_consolidation/data/permuted_entity_ewok_eval/eval/per_target/max_permuted_seed43022_chck_20M.json
chck_30M,EWoK,True,True,False,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_30M.json,experiments/archive/frontier_consolidation/data/permuted_entity_ewok_eval/eval/per_target/max_permuted_seed43022_chck_30M.json
chck_30M,Entity,True,True,False,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_30M.json,experiments/archive/frontier_consolidation/data/permuted_entity_ewok_eval/eval/per_target/max_permuted_seed43022_chck_30M.json
chck_40M,EWoK,True,True,False,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_40M.json,experiments/archive/frontier_consolidation/data/permuted_entity_ewok_eval/eval/per_target/max_permuted_seed43022_chck_40M.json
chck_40M,Entity,True,True,False,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_40M.json,experiments/archive/frontier_consolidation/data/permuted_entity_ewok_eval/eval/per_target/max_permuted_seed43022_chck_40M.json
chck_50M,EWoK,True,True,False,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_50M.json,experiments/archive/frontier_consolidation/data/permuted_entity_ewok_eval/eval/per_target/max_permuted_seed43022_chck_50M.json
chck_50M,Entity,True,True,False,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_50M.json,experiments/archive/frontier_consolidation/data/permuted_entity_ewok_eval/eval/per_target/max_permuted_seed43022_chck_50M.json
chck_60M,EWoK,True,True,False,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_60M.json,experiments/archive/frontier_consolidation/data/permuted_entity_ewok_eval/eval/per_target/max_permuted_seed43022_chck_60M.json
chck_60M,Entity,True,True,False,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_60M.json,experiments/archive/frontier_consolidation/data/permuted_entity_ewok_eval/eval/per_target/max_permuted_seed43022_chck_60M.json
chck_70M,EWoK,True,True,False,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_70M.json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_70M.json,experiments/archive/frontier_consolidation/data/permuted_entity_ewok_eval/eval/per_target/max_permuted_seed43022_chck_70M.json
chck_70M,Entity,True,True,False,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_70M.json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_70M.json,experiments/archive/frontier_consolidation/data/permuted_entity_ewok_eval/eval/per_target/max_permuted_seed43022_chck_70M.json
chck_80M,EWoK,True,True,False,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_80M.json,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_repeat_chck_80M.json,experiments/archive/frontier_consolidation/data/permuted_entity_ewok_eval/eval/per_target/max_permuted_seed43022_chck_80M.json
