event_index,pair_id,category,word,word_index,n_pieces,ordered_selected_count_4passes,scrambled_selected_count_4passes,either_arm_selected_count_4passes,neither_arm_selected,ordered_never_selected,scrambled_never_selected
0,compact:frontier_consolidation_fwcompact_medium_015537,retained_content,photons.,25,3,0,0,0,True,True,True
1,compact:frontier_consolidation_fwcompact_medium_046599,source_absent_content,hire,9,1,0,0,0,True,True,True
2,compact:frontier_consolidation_fwcompact_medium_035256,function_other,above,9,1,0,0,0,True,True,True
3,compact:frontier_consolidation_fwcompact_medium_050017,function_other,to,10,1,0,0,0,True,True,True
4,compact:frontier_consolidation_fwcompact_medium_011990,source_absent_content,biodiverse,14,3,0,0,0,True,True,True
5,compact:frontier_consolidation_fwcompact_medium_010110,source_absent_content,include,4,1,0,0,0,True,True,True
6,compact:frontier_consolidation_fwcompact_medium_015399,source_absent_content,bring,3,1,0,0,0,True,True,True
7,compact:frontier_consolidation_fwcompact_medium_039989,retained_content,Month,16,2,0,0,0,True,True,True
8,compact:frontier_consolidation_fwcompact_medium_021817,retained_content,"economical,",6,3,0,0,0,True,True,True
9,compact:frontier_consolidation_fwcompact_medium_033398,retained_content,standards,11,1,0,0,0,True,True,True
10,compact:frontier_consolidation_fwcompact_medium_029598,source_absent_content,study,1,1,0,0,0,True,True,True
11,compact:frontier_consolidation_fwcompact_medium_027992,function_other,If,0,1,0,0,0,True,True,True
12,compact:frontier_consolidation_fwcompact_medium_019070,retained_content,defixio,2,3,0,0,0,True,True,True
13,compact:frontier_consolidation_fwcompact_medium_014809,source_absent_content,various,8,1,0,0,0,True,True,True
14,compact:frontier_consolidation_fwcompact_medium_038277,retained_content,skills.,6,2,0,0,0,True,True,True
15,compact:frontier_consolidation_fwcompact_medium_002519,retained_content,determine,5,1,0,0,0,True,True,True
16,compact:frontier_consolidation_fwcompact_medium_052160,retained_content,tree,4,1,0,0,0,True,True,True
17,compact:frontier_consolidation_fwcompact_medium_014434,function_other,are,2,1,0,0,0,True,True,True
18,compact:frontier_consolidation_fwcompact_medium_008755,function_other,and,1,1,0,0,0,True,True,True
19,compact:frontier_consolidation_fwcompact_medium_029207,function_other,be,17,1,0,0,0,True,True,True
20,compact:frontier_consolidation_fwcompact_medium_037270,retained_content,Eat,0,1,0,0,0,True,True,True
21,compact:frontier_consolidation_fwcompact_medium_059790,function_other,many,2,1,0,0,0,True,True,True
22,compact:frontier_consolidation_fwcompact_medium_054338,function_other,a,9,1,0,0,0,True,True,True
23,compact:frontier_consolidation_fwcompact_medium_007913,source_absent_content,intake,1,2,0,0,0,True,True,True
24,compact:frontier_consolidation_fwcompact_medium_057430,retained_content,person,1,1,0,0,0,True,True,True
25,compact:frontier_consolidation_fwcompact_medium_043072,source_absent_content,wolf,5,1,0,0,0,True,True,True
26,compact:frontier_consolidation_fwcompact_medium_002994,retained_content,Library,3,1,0,0,0,True,True,True
27,compact:frontier_consolidation_fwcompact_medium_056179,retained_content,low,6,1,0,0,0,True,True,True
28,compact:frontier_consolidation_fwcompact_medium_057915,retained_content,oven,3,1,0,0,0,True,True,True
29,compact:frontier_consolidation_fwcompact_medium_031866,source_absent_content,happen,4,1,0,0,0,True,True,True
30,compact:frontier_consolidation_fwcompact_medium_016166,source_absent_content,like,10,1,0,0,0,True,True,True
31,compact:frontier_consolidation_fwcompact_medium_041296,source_absent_content,nodes,8,2,0,0,0,True,True,True
32,compact:frontier_consolidation_fwcompact_medium_052749,source_absent_content,asks,1,1,0,0,0,True,True,True
33,compact:frontier_consolidation_fwcompact_medium_010540,function_other,is,7,1,0,0,0,True,True,True
34,compact:frontier_consolidation_fwcompact_medium_048306,function_other,the,6,1,0,0,0,True,True,True
35,compact:frontier_consolidation_fwcompact_medium_019664,source_absent_content,police,9,1,0,0,0,True,True,True
36,compact:frontier_consolidation_fwcompact_medium_046039,source_absent_content,means,15,1,0,0,0,True,True,True
37,compact:frontier_consolidation_fwcompact_medium_061446,retained_content,technicians,6,2,0,0,0,True,True,True
38,compact:frontier_consolidation_fwcompact_medium_059657,source_absent_content,trigger,20,1,0,0,0,True,True,True
39,compact:frontier_consolidation_fwcompact_medium_025817,retained_content,end,16,1,0,0,0,True,True,True
40,compact:frontier_consolidation_fwcompact_medium_039306,retained_content,protection,3,1,0,0,0,True,True,True
41,compact:frontier_consolidation_fwcompact_medium_057440,function_other,in,9,1,0,0,0,True,True,True
42,compact:frontier_consolidation_fwcompact_medium_053985,source_absent_content,wine,6,1,0,0,0,True,True,True
43,compact:frontier_consolidation_fwcompact_medium_012834,source_absent_content,royal,2,1,0,0,0,True,True,True
44,compact:frontier_consolidation_fwcompact_medium_030700,function_other,on,18,1,0,0,0,True,True,True
45,compact:frontier_consolidation_fwcompact_medium_022827,function_other,need,12,1,0,0,0,True,True,True
46,compact:frontier_consolidation_fwcompact_medium_017539,function_other,we,5,1,0,0,0,True,True,True
47,compact:frontier_consolidation_fwcompact_medium_023324,retained_content,environmental,6,1,0,0,0,True,True,True
48,compact:frontier_consolidation_fwcompact_medium_056673,function_other,their,4,1,0,0,0,True,True,True
49,compact:frontier_consolidation_fwcompact_medium_000084,source_absent_content,former,14,1,0,0,0,True,True,True
50,compact:frontier_consolidation_fwcompact_medium_025795,retained_content,winter.,11,2,0,0,0,True,True,True
51,compact:frontier_consolidation_fwcompact_medium_059766,source_absent_content,"normally,",3,2,0,0,0,True,True,True
52,compact:frontier_consolidation_fwcompact_medium_038268,function_other,This,0,1,0,0,0,True,True,True
53,compact:frontier_consolidation_fwcompact_medium_050542,source_absent_content,give,2,1,0,0,0,True,True,True
54,compact:frontier_consolidation_fwcompact_medium_042176,function_other,each,4,1,0,0,0,True,True,True
55,compact:frontier_consolidation_fwcompact_medium_036291,function_other,to,4,1,0,0,0,True,True,True
56,compact:frontier_consolidation_fwcompact_medium_043038,function_other,are,9,1,1,0,1,False,False,True
57,compact:frontier_consolidation_fwcompact_medium_021876,function_other,but,6,1,0,0,0,True,True,True
58,compact:frontier_consolidation_fwcompact_medium_051459,retained_content,contracting,1,2,0,0,0,True,True,True
59,compact:frontier_consolidation_fwcompact_medium_006275,retained_content,workshops,7,2,0,0,0,True,True,True
