arch,arm,checkpoint,seed,role,probe_family,probe_id,effect_no_all_relevant_updates,effect_no_initial_qbox,effect_no_last_relevant_update,entity_type,irrelevant_ops,item_index,margin_full,margin_no_all_relevant_updates,margin_no_initial_qbox,margin_no_last_relevant_update,prefix_words_full,query_box,relevant_updates,reported_numops,stale_idx,total_ops,uid
D,D_VS_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:0:regular_2_ops:7,-2.154980719089508,0.29544001817703247,-0.5924249291419983,regular,1,7,6.122434616088867,3.967453896999359,6.4178746342659,5.530009686946869,89,0,2,2,1,3,regular_2_ops
D,D_VS_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1000:move_contents_3_ops:54,-1.2571210861206055,1.4269914627075195,-0.6396608352661133,move_contents,5,54,-0.5435113906860352,-1.8006324768066406,0.8834800720214844,-1.1831722259521484,136,5,3,3,1,8,move_contents_3_ops
D,D_VS_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1001:move_contents_3_ops:56,-7.956914901733398,-0.9653148651123047,-3.060253620147705,move_contents,5,56,8.114395141601562,0.15748023986816406,7.149080276489258,5.054141521453857,111,2,3,3,1,8,move_contents_3_ops
D,D_VS_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1002:move_contents_3_ops:71,-0.977747917175293,0.3123922348022461,1.9349441528320312,move_contents,5,71,1.5427484512329102,0.5650005340576172,1.8551406860351562,3.4776926040649414,134,5,3,3,1,8,move_contents_3_ops
D,D_VS_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1003:move_contents_3_ops:78,0.2405862808227539,-0.42875003814697266,0.09334659576416016,move_contents,5,78,-1.232741355895996,-0.9921550750732422,-1.6614913940429688,-1.139394760131836,119,2,3,3,1,8,move_contents_3_ops
D,D_VS_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1004:move_contents_3_ops:91,-0.9366707801818848,0.9671688079833984,-0.5311250686645508,move_contents,5,91,-0.16968822479248047,-1.1063590049743652,0.797480583190918,-0.7008132934570312,124,2,3,3,1,8,move_contents_3_ops
D,D_VS_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1005:move_contents_3_ops:97,-4.463054150342941,6.3049814105033875,-1.4937385022640228,move_contents,7,97,0.29203420877456665,-4.171019941568375,6.597015619277954,-1.2017042934894562,149,4,2,3,1,9,move_contents_3_ops
D,D_VS_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1006:move_contents_3_ops:108,-0.12721014022827148,0.609611988067627,-0.6635446548461914,move_contents,6,108,1.2382574081420898,1.1110472679138184,1.8478693962097168,0.5747127532958984,143,0,3,3,1,9,move_contents_3_ops
D,D_VS_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1007:move_contents_3_ops:109,-0.039820194244384766,1.1014113426208496,-0.1773242950439453,move_contents,7,109,-3.510547161102295,-3.5503673553466797,-2.4091358184814453,-3.6878714561462402,119,4,2,3,1,9,move_contents_3_ops
D,D_VS_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1008:move_contents_3_ops:111,-0.4365043640136719,0.5428128242492676,0.347200870513916,move_contents,7,111,-2.4867491722106934,-2.9232535362243652,-1.9439363479614258,-2.1395483016967773,130,0,2,3,1,9,move_contents_3_ops
D,D_VS_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1009:move_contents_3_ops:112,-0.8320913314819336,-2.30334734916687,-0.18183135986328125,move_contents,6,112,-6.311376571655273,-7.143467903137207,-8.614723920822144,-6.493207931518555,128,2,3,3,1,9,move_contents_3_ops
D,D_VS_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:100:regular_2_ops:234,0.2089242935180664,0.8326358795166016,0.6165704727172852,regular,9,234,-4.813407897949219,-4.604483604431152,-3.980772018432617,-4.196837425231934,127,1,2,2,1,11,regular_2_ops
D,D_VS_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1010:move_contents_3_ops:122,0.21759891510009766,0.8526225090026855,1.4192323684692383,move_contents,6,122,0.4548025131225586,0.6724014282226562,1.3074250221252441,1.8740348815917969,149,5,3,3,1,9,move_contents_3_ops
D,D_VS_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1011:move_contents_3_ops:123,-0.10704421997070312,1.6214103698730469,-0.3213071823120117,move_contents,7,123,-2.1221399307250977,-2.229184150695801,-0.5007295608520508,-2.4434471130371094,127,4,2,3,1,9,move_contents_3_ops
D,D_VS_43122,chck_80M,43122,V,entity_gold_stale_cue_ablation,entityabl:1012:move_contents_3_ops:127,-4.781263828277588,-4.937385559082031,-2.8431925773620605,move_contents,6,127,3.333489418029785,-1.4477744102478027,-1.603896141052246,0.4902968406677246,140,1,3,3,1,9,move_contents_3_ops
