position,target,condition,pair_index,pair_id,target_token_id,rewrite_pos,n_true_src_content,n_unrel_src_content,src_len,unrel_len,true_src_content_mass,unrel_src_content_mass,target_prob,arm,arch,role,seed,checkpoint
96,7152,T,0,"research by warren booth, a biologist at the university of tulsa and a co-author",7152,36,25,34,59,59,0.003561197081580758,0.0010793344117701054,3.9581736928084865e-05,D_C_43122,D,C,43122,chck_90M
96,7152,U,0,"research by warren booth, a biologist at the university of tulsa and a co-author",7152,36,25,34,59,59,0.013571411371231079,0.0018870109925046563,0.0002261907939100638,D_C_43122,D,C,43122,chck_90M
100,2410,T,0,"research by warren booth, a biologist at the university of tulsa and a co-author",2410,40,25,34,59,59,0.6894755959510803,0.046086378395557404,0.004270038101822138,D_C_43122,D,C,43122,chck_90M
100,2410,U,0,"research by warren booth, a biologist at the university of tulsa and a co-author",2410,40,25,34,59,59,0.0011064615100622177,0.053674109280109406,0.0008107364410534501,D_C_43122,D,C,43122,chck_90M
48,249,T,2,"the new and improved factory farm map, created by food and water watch, uses col",249,4,29,23,43,43,0.0009075230336748064,0.0001830177498050034,0.06345155835151672,D_C_43122,D,C,43122,chck_90M
48,249,U,2,"the new and improved factory farm map, created by food and water watch, uses col",249,4,29,23,43,43,0.007189915049821138,0.01480029709637165,0.33054685592651367,D_C_43122,D,C,43122,chck_90M
68,6705,T,2,"the new and improved factory farm map, created by food and water watch, uses col",6705,24,29,23,43,43,0.03157999366521835,0.0007982106180861592,8.153961243806407e-05,D_C_43122,D,C,43122,chck_90M
68,6705,U,2,"the new and improved factory farm map, created by food and water watch, uses col",6705,24,29,23,43,43,0.01758483611047268,0.013621613383293152,0.0002922839194070548,D_C_43122,D,C,43122,chck_90M
36,7537,T,3,the map project was initiated at the university of oregon and its growth and suc,7537,5,15,17,30,30,0.08575239032506943,0.0015181195922195911,0.0005942064453847706,D_C_43122,D,C,43122,chck_90M
36,7537,U,3,the map project was initiated at the university of oregon and its growth and suc,7537,5,15,17,30,30,0.0020427086856216192,0.0025568807031959295,0.00036523028393276036,D_C_43122,D,C,43122,chck_90M
37,731,T,3,the map project was initiated at the university of oregon and its growth and suc,731,6,15,17,30,30,0.00011055412323912606,0.01281152106821537,0.004783098120242357,D_C_43122,D,C,43122,chck_90M
37,731,U,3,the map project was initiated at the university of oregon and its growth and suc,731,6,15,17,30,30,0.00047657848335802555,0.05893048644065857,0.006788699887692928,D_C_43122,D,C,43122,chck_90M
50,3362,T,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3362,0,29,21,49,49,0.6859988570213318,6.545154610648751e-05,3.3240762604691554e-06,D_C_43122,D,C,43122,chck_90M
50,3362,U,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3362,0,29,21,49,49,0.00016881219926290214,0.0039673903957009315,0.0006247950368560851,D_C_43122,D,C,43122,chck_90M
