position,target,condition,pair_index,pair_id,target_token_id,rewrite_pos,n_true_src_content,n_unrel_src_content,src_len,unrel_len,true_src_content_mass,unrel_src_content_mass,target_prob,arm,arch,role,seed,checkpoint
96,7152,T,0,"research by warren booth, a biologist at the university of tulsa and a co-author",7152,36,25,34,59,59,0.7445375919342041,0.0003384352894499898,0.002673596376553178,D_V_43222,D,V,43222,chck_80M
96,7152,U,0,"research by warren booth, a biologist at the university of tulsa and a co-author",7152,36,25,34,59,59,0.015985287725925446,0.003205869346857071,0.0035266540944576263,D_V_43222,D,V,43222,chck_80M
100,2410,T,0,"research by warren booth, a biologist at the university of tulsa and a co-author",2410,40,25,34,59,59,0.9709717035293579,0.0018581151962280273,0.00032594549702480435,D_V_43222,D,V,43222,chck_80M
100,2410,U,0,"research by warren booth, a biologist at the university of tulsa and a co-author",2410,40,25,34,59,59,0.00233049551025033,0.03910207748413086,0.0013648372841998935,D_V_43222,D,V,43222,chck_80M
48,249,T,2,"the new and improved factory farm map, created by food and water watch, uses col",249,4,29,23,43,43,0.013050923123955727,0.0015382152050733566,0.06640979647636414,D_V_43222,D,V,43222,chck_80M
48,249,U,2,"the new and improved factory farm map, created by food and water watch, uses col",249,4,29,23,43,43,0.04054519906640053,0.03886151686310768,0.14831770956516266,D_V_43222,D,V,43222,chck_80M
68,6705,T,2,"the new and improved factory farm map, created by food and water watch, uses col",6705,24,29,23,43,43,0.17346049845218658,0.014621918089687824,0.009783635847270489,D_V_43222,D,V,43222,chck_80M
68,6705,U,2,"the new and improved factory farm map, created by food and water watch, uses col",6705,24,29,23,43,43,0.1195700541138649,0.018120933324098587,0.002762881340458989,D_V_43222,D,V,43222,chck_80M
36,7537,T,3,the map project was initiated at the university of oregon and its growth and suc,7537,5,15,17,30,30,0.027415001764893532,0.000487820798298344,0.000708813953679055,D_V_43222,D,V,43222,chck_80M
36,7537,U,3,the map project was initiated at the university of oregon and its growth and suc,7537,5,15,17,30,30,0.001392065780237317,0.0007226938614621758,0.0002932616334874183,D_V_43222,D,V,43222,chck_80M
37,731,T,3,the map project was initiated at the university of oregon and its growth and suc,731,6,15,17,30,30,0.00023305375361815095,0.00802985392510891,0.00530268345028162,D_V_43222,D,V,43222,chck_80M
37,731,U,3,the map project was initiated at the university of oregon and its growth and suc,731,6,15,17,30,30,9.418879199074581e-05,0.010597322136163712,0.002036578021943569,D_V_43222,D,V,43222,chck_80M
50,3362,T,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3362,0,29,21,49,49,0.8085996508598328,0.00038839588523842394,0.000856251921504736,D_V_43222,D,V,43222,chck_80M
50,3362,U,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3362,0,29,21,49,49,0.002469051629304886,0.05738399550318718,0.004706114996224642,D_V_43222,D,V,43222,chck_80M
72,3861,T,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3861,22,29,21,49,49,0.03517160937190056,0.032843902707099915,0.025288568809628487,D_V_43222,D,V,43222,chck_80M
