position,target,condition,pair_index,pair_id,target_token_id,rewrite_pos,n_true_src_content,n_unrel_src_content,src_len,unrel_len,true_src_content_mass,unrel_src_content_mass,target_prob,arm,arch,role,seed,checkpoint
96,7152,T,0,"research by warren booth, a biologist at the university of tulsa and a co-author",7152,36,25,34,59,59,0.6863902807235718,0.00023558488464914262,0.030265076085925102,D_V_43022,D,V,43022,chck_90M
96,7152,U,0,"research by warren booth, a biologist at the university of tulsa and a co-author",7152,36,25,34,59,59,0.0647302195429802,0.002030111150816083,0.009264866821467876,D_V_43022,D,V,43022,chck_90M
100,2410,T,0,"research by warren booth, a biologist at the university of tulsa and a co-author",2410,40,25,34,59,59,0.35121530294418335,0.038209401071071625,0.004469272680580616,D_V_43022,D,V,43022,chck_90M
100,2410,U,0,"research by warren booth, a biologist at the university of tulsa and a co-author",2410,40,25,34,59,59,0.0005393491010181606,0.032967738807201385,0.0007668125908821821,D_V_43022,D,V,43022,chck_90M
48,249,T,2,"the new and improved factory farm map, created by food and water watch, uses col",249,4,29,23,43,43,0.011643298901617527,0.0004173734050709754,0.05099433287978172,D_V_43022,D,V,43022,chck_90M
48,249,U,2,"the new and improved factory farm map, created by food and water watch, uses col",249,4,29,23,43,43,0.015633875504136086,0.02145428955554962,0.034568995237350464,D_V_43022,D,V,43022,chck_90M
68,6705,T,2,"the new and improved factory farm map, created by food and water watch, uses col",6705,24,29,23,43,43,0.0900319367647171,0.0172471571713686,0.0016113946912810206,D_V_43022,D,V,43022,chck_90M
68,6705,U,2,"the new and improved factory farm map, created by food and water watch, uses col",6705,24,29,23,43,43,0.026423895731568336,0.01603139378130436,0.00047760020243003964,D_V_43022,D,V,43022,chck_90M
36,7537,T,3,the map project was initiated at the university of oregon and its growth and suc,7537,5,15,17,30,30,0.021259643137454987,0.0023131391499191523,0.0055674235336482525,D_V_43022,D,V,43022,chck_90M
36,7537,U,3,the map project was initiated at the university of oregon and its growth and suc,7537,5,15,17,30,30,0.0005801168736070395,0.0010884215589612722,0.0004260442510712892,D_V_43022,D,V,43022,chck_90M
37,731,T,3,the map project was initiated at the university of oregon and its growth and suc,731,6,15,17,30,30,0.0004249510820955038,0.002057966310530901,0.008152632974088192,D_V_43022,D,V,43022,chck_90M
37,731,U,3,the map project was initiated at the university of oregon and its growth and suc,731,6,15,17,30,30,4.8470465117134154e-05,0.0050722151063382626,0.001579058705829084,D_V_43022,D,V,43022,chck_90M
50,3362,T,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3362,0,29,21,49,49,0.6483016610145569,0.0001057465560734272,0.00021499123249668628,D_V_43022,D,V,43022,chck_90M
50,3362,U,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3362,0,29,21,49,49,0.0004943344974890351,0.0010106846457347274,0.0013092330191284418,D_V_43022,D,V,43022,chck_90M
72,3861,T,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3861,22,29,21,49,49,0.30527615547180176,0.1719711422920227,2.3299877284443937e-05,D_V_43022,D,V,43022,chck_90M
72,3861,U,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3861,22,29,21,49,49,0.0025041070766747,0.015328609384596348,5.307024912326597e-05,D_V_43022,D,V,43022,chck_90M
44,10571,T,5,"if you are not a smoker, you should avoid people who smokes because research fro",10571,0,20,23,43,43,0.00017518523964099586,1.3948965715826489e-05,0.0014673643745481968,D_V_43022,D,V,43022,chck_90M
44,10571,U,5,"if you are not a smoker, you should avoid people who smokes because research fro",10571,0,20,23,43,43,0.0002941847196780145,3.198918420821428e-05,0.0005995989195071161,D_V_43022,D,V,43022,chck_90M
66,1799,T,5,"if you are not a smoker, you should avoid people who smokes because research fro",1799,22,20,23,43,43,0.5167123675346375,0.029576389119029045,0.0014629763318225741,D_V_43022,D,V,43022,chck_90M
66,1799,U,5,"if you are not a smoker, you should avoid people who smokes because research fro",1799,22,20,23,43,43,0.015886783599853516,0.04482206702232361,0.00017973608919419348,D_V_43022,D,V,43022,chck_90M
66,644,T,6,"three task forces, that were created in the wake of the comprehensive assessment",644,4,32,29,61,61,9.795109690458048e-06,0.001011237152852118,0.005097385961562395,D_V_43022,D,V,43022,chck_90M
66,644,U,6,"three task forces, that were created in the wake of the comprehensive assessment",644,4,32,29,61,61,0.00015543249901384115,0.003939860966056585,0.008735690265893936,D_V_43022,D,V,43022,chck_90M
93,572,T,6,"three task forces, that were created in the wake of the comprehensive assessment",572,31,32,29,61,61,0.8839208483695984,0.00016327071352861822,4.2733302052511135e-07,D_V_43022,D,V,43022,chck_90M
93,572,U,6,"three task forces, that were created in the wake of the comprehensive assessment",572,31,32,29,61,61,0.00043408761848695576,0.0009625868406146765,4.067624104209244e-06,D_V_43022,D,V,43022,chck_90M
45,249,T,7,"the hubbard-rosa version of “on, wisconsin!” became the official state song on j",249,13,10,15,31,31,0.725274920463562,0.001388193923048675,0.1272536665201187,D_V_43022,D,V,43022,chck_90M
45,249,U,7,"the hubbard-rosa version of “on, wisconsin!” became the official state song on j",249,13,10,15,31,31,0.0007583453552797437,0.0004461212665773928,0.8024851083755493,D_V_43022,D,V,43022,chck_90M
26,6890,T,8,"this year alone, 12 deaths have been reported, according to a san jose state uni",6890,4,10,11,21,21,0.030066953971982002,0.000807476753834635,0.06186294183135033,D_V_43022,D,V,43022,chck_90M
26,6890,U,8,"this year alone, 12 deaths have been reported, according to a san jose state uni",6890,4,10,11,21,21,0.0024290727451443672,0.009065565653145313,0.007779906038194895,D_V_43022,D,V,43022,chck_90M
55,5343,T,9,"in january 2003, epa released its national water quality trading policy, which l",5343,17,19,18,37,37,0.0025663268752396107,0.00046665771515108645,9.547595254844055e-06,D_V_43022,D,V,43022,chck_90M
55,5343,U,9,"in january 2003, epa released its national water quality trading policy, which l",5343,17,19,18,37,37,0.002365193795412779,0.011243744753301144,0.00017631107766646892,D_V_43022,D,V,43022,chck_90M
60,954,T,10,"total=land+water; land=land only [suh-rent-owe] is a town in hancock county, set",954,3,19,23,56,56,0.8435280919075012,1.457602502341615e-05,4.6643540940749517e-07,D_V_43022,D,V,43022,chck_90M
60,954,U,10,"total=land+water; land=land only [suh-rent-owe] is a town in hancock county, set",954,3,19,23,56,56,0.0009016378317028284,0.0024856352247297764,4.061756953888107e-06,D_V_43022,D,V,43022,chck_90M
87,641,T,10,"total=land+water; land=land only [suh-rent-owe] is a town in hancock county, set",641,30,19,23,56,56,0.0005304181249812245,2.133187990693841e-05,4.258054468664341e-05,D_V_43022,D,V,43022,chck_90M
87,641,U,10,"total=land+water; land=land only [suh-rent-owe] is a town in hancock county, set",641,30,19,23,56,56,0.0034916969016194344,0.00013038452016189694,3.6731886211782694e-05,D_V_43022,D,V,43022,chck_90M
42,249,T,11,"first, the methane created by the closed-loop system can supply between 10 and 1",249,5,16,19,36,36,0.25768011808395386,0.0007916631875559688,0.020997202023863792,D_V_43022,D,V,43022,chck_90M
42,249,U,11,"first, the methane created by the closed-loop system can supply between 10 and 1",249,5,16,19,36,36,0.005675207357853651,0.0006746418657712638,0.0020710183307528496,D_V_43022,D,V,43022,chck_90M
57,2282,T,11,"first, the methane created by the closed-loop system can supply between 10 and 1",2282,20,16,19,36,36,0.018679462373256683,0.0011029313318431377,0.027407206594944,D_V_43022,D,V,43022,chck_90M
57,2282,U,11,"first, the methane created by the closed-loop system can supply between 10 and 1",2282,20,16,19,36,36,0.0015181438066065311,0.0015589995309710503,0.0004919848288409412,D_V_43022,D,V,43022,chck_90M
49,1542,T,12,"at the beginning of the antarctic winter, from march to april, weather on king g",1542,15,17,17,33,33,5.8972178521798924e-05,0.001116234459914267,0.06247975304722786,D_V_43022,D,V,43022,chck_90M
