position,target,condition,pair_index,pair_id,target_token_id,rewrite_pos,n_true_src_content,n_unrel_src_content,src_len,unrel_len,true_src_content_mass,unrel_src_content_mass,target_prob,arm,arch,role,seed,checkpoint
96,7152,T,0,"research by warren booth, a biologist at the university of tulsa and a co-author",7152,36,25,34,59,59,9.513534314464778e-05,0.001475785975344479,4.76715558761498e-06,D_R_43222,D,R,43222,chck_100M
96,7152,U,0,"research by warren booth, a biologist at the university of tulsa and a co-author",7152,36,25,34,59,59,0.0024704206734895706,0.013202683068811893,8.596635598223656e-05,D_R_43222,D,R,43222,chck_100M
100,2410,T,0,"research by warren booth, a biologist at the university of tulsa and a co-author",2410,40,25,34,59,59,0.7340441942214966,0.01662038266658783,0.0016023932257667184,D_R_43222,D,R,43222,chck_100M
100,2410,U,0,"research by warren booth, a biologist at the university of tulsa and a co-author",2410,40,25,34,59,59,0.0016698508989065886,0.020101137459278107,0.0032676963601261377,D_R_43222,D,R,43222,chck_100M
48,249,T,2,"the new and improved factory farm map, created by food and water watch, uses col",249,4,29,23,43,43,0.000314815784804523,2.6778163373819552e-05,0.0002939628320746124,D_R_43222,D,R,43222,chck_100M
48,249,U,2,"the new and improved factory farm map, created by food and water watch, uses col",249,4,29,23,43,43,0.0012027730699628592,0.0005053436616435647,0.010471065528690815,D_R_43222,D,R,43222,chck_100M
68,6705,T,2,"the new and improved factory farm map, created by food and water watch, uses col",6705,24,29,23,43,43,0.01000719703733921,0.0006802763091400266,5.050303116149735e-06,D_R_43222,D,R,43222,chck_100M
68,6705,U,2,"the new and improved factory farm map, created by food and water watch, uses col",6705,24,29,23,43,43,0.016339324414730072,0.005997354164719582,6.746973667759448e-05,D_R_43222,D,R,43222,chck_100M
36,7537,T,3,the map project was initiated at the university of oregon and its growth and suc,7537,5,15,17,30,30,0.01212987769395113,0.0004429404507391155,0.0004222625866532326,D_R_43222,D,R,43222,chck_100M
36,7537,U,3,the map project was initiated at the university of oregon and its growth and suc,7537,5,15,17,30,30,0.00035856812610290945,0.0006224733078852296,0.00031545228557661176,D_R_43222,D,R,43222,chck_100M
37,731,T,3,the map project was initiated at the university of oregon and its growth and suc,731,6,15,17,30,30,8.12635917100124e-05,0.008387278765439987,0.006168019957840443,D_R_43222,D,R,43222,chck_100M
37,731,U,3,the map project was initiated at the university of oregon and its growth and suc,731,6,15,17,30,30,6.285858398769051e-05,0.016805149614810944,0.0058428263291716576,D_R_43222,D,R,43222,chck_100M
50,3362,T,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3362,0,29,21,49,49,0.9695162773132324,0.00038935570046305656,1.3862994819646701e-05,D_R_43222,D,R,43222,chck_100M
50,3362,U,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3362,0,29,21,49,49,0.0004275209503248334,0.31557905673980713,0.00537377642467618,D_R_43222,D,R,43222,chck_100M
72,3861,T,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3861,22,29,21,49,49,0.049215152859687805,0.048663340508937836,3.069858212256804e-05,D_R_43222,D,R,43222,chck_100M
72,3861,U,4,"in medieval europe prostitution was licensed and regulated by law, but by the 16",3861,22,29,21,49,49,0.00015996515867300332,0.001417525578290224,3.7880215586483246e-06,D_R_43222,D,R,43222,chck_100M
44,10571,T,5,"if you are not a smoker, you should avoid people who smokes because research fro",10571,0,20,23,43,43,0.1923794001340866,0.006160114426165819,0.00020834671158809215,D_R_43222,D,R,43222,chck_100M
44,10571,U,5,"if you are not a smoker, you should avoid people who smokes because research fro",10571,0,20,23,43,43,0.008666020818054676,0.04004957154393196,0.000809288932941854,D_R_43222,D,R,43222,chck_100M
66,1799,T,5,"if you are not a smoker, you should avoid people who smokes because research fro",1799,22,20,23,43,43,0.0654871016740799,0.040443845093250275,9.88366300589405e-05,D_R_43222,D,R,43222,chck_100M
66,1799,U,5,"if you are not a smoker, you should avoid people who smokes because research fro",1799,22,20,23,43,43,0.010558412410318851,0.021609174087643623,0.0002768748381640762,D_R_43222,D,R,43222,chck_100M
66,644,T,6,"three task forces, that were created in the wake of the comprehensive assessment",644,4,32,29,61,61,0.00014276488218456507,0.0023519613314419985,0.0011348442640155554,D_R_43222,D,R,43222,chck_100M
66,644,U,6,"three task forces, that were created in the wake of the comprehensive assessment",644,4,32,29,61,61,0.0001240892306668684,0.0005494432989507914,0.0011390234576538205,D_R_43222,D,R,43222,chck_100M
93,572,T,6,"three task forces, that were created in the wake of the comprehensive assessment",572,31,32,29,61,61,0.14169204235076904,0.003391579957678914,9.598483302397653e-06,D_R_43222,D,R,43222,chck_100M
93,572,U,6,"three task forces, that were created in the wake of the comprehensive assessment",572,31,32,29,61,61,0.010292211547493935,0.004913497716188431,1.8740656742011197e-05,D_R_43222,D,R,43222,chck_100M
45,249,T,7,"the hubbard-rosa version of “on, wisconsin!” became the official state song on j",249,13,10,15,31,31,0.9513246417045593,5.704851355403662e-05,0.0024207697715610266,D_R_43222,D,R,43222,chck_100M
45,249,U,7,"the hubbard-rosa version of “on, wisconsin!” became the official state song on j",249,13,10,15,31,31,0.001931430073454976,0.0017862890381366014,0.6691181063652039,D_R_43222,D,R,43222,chck_100M
