direction,anchor_correct_82,column,subtask,subgroup,fine_group,item_key,pred_id,gold,pred_82,pred_84,pred_alpha075,text_a,text_b
alpha075_correct_chck84_wrong,1,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/120,adjunct_island_120,Who has Ann alarmed while insulting Omar?,Who has Ann alarmed while insulting Omar?,Who has Ann alarmed Omar while insulting?,Who has Ann alarmed while insulting Omar?,Who has Ann alarmed while insulting Omar?,Who has Ann alarmed Omar while insulting?
alpha075_correct_chck84_wrong,1,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/151,adjunct_island_151,What will these girls drop by while exploring every grocery store?,What will these girls drop by while exploring every grocery store?,What will these girls drop by every grocery store while exploring?,What will these girls drop by while exploring every grocery store?,What will these girls drop by while exploring every grocery store?,What will these girls drop by every grocery store while exploring?
chck84_correct_alpha075_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/183,adjunct_island_183,Who can Jessica respect while hurting Frank?,Who can Jessica respect Frank while hurting?,Who can Jessica respect while hurting Frank?,Who can Jessica respect Frank while hurting?,Who can Jessica respect while hurting Frank?,Who can Jessica respect Frank while hurting?
alpha075_correct_chck84_wrong,1,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/184,adjunct_island_184,What should Theresa sell while revealing a lot of cars?,What should Theresa sell while revealing a lot of cars?,What should Theresa sell a lot of cars while revealing?,What should Theresa sell while revealing a lot of cars?,What should Theresa sell while revealing a lot of cars?,What should Theresa sell a lot of cars while revealing?
chck84_correct_alpha075_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/211,adjunct_island_211,Who should current events upset without irritating Cheryl?,Who should current events upset Cheryl without irritating?,Who should current events upset without irritating Cheryl?,Who should current events upset Cheryl without irritating?,Who should current events upset without irritating Cheryl?,Who should current events upset Cheryl without irritating?
alpha075_correct_chck84_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/323,adjunct_island_323,What was Debra breaking before noticing all glasses?,What was Debra breaking all glasses before noticing?,What was Debra breaking all glasses before noticing?,What was Debra breaking before noticing all glasses?,What was Debra breaking before noticing all glasses?,What was Debra breaking all glasses before noticing?
chck84_correct_alpha075_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/337,adjunct_island_337,What had Roger ascended while noticing steps?,What had Roger ascended steps while noticing?,What had Roger ascended while noticing steps?,What had Roger ascended steps while noticing?,What had Roger ascended while noticing steps?,What had Roger ascended steps while noticing?
alpha075_correct_chck84_wrong,1,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/342,adjunct_island_342,What is Jason noticing after thinking about all rugs?,What is Jason noticing after thinking about all rugs?,What is Jason noticing all rugs after thinking about?,What is Jason noticing after thinking about all rugs?,What is Jason noticing after thinking about all rugs?,What is Jason noticing all rugs after thinking about?
chck84_correct_alpha075_wrong,1,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/356,adjunct_island_356,What were the children arriving at while finding every cafe?,What were the children arriving at while finding every cafe?,What were the children arriving at while finding every cafe?,What were the children arriving at every cafe while finding?,What were the children arriving at while finding every cafe?,What were the children arriving at every cafe while finding?
alpha075_correct_chck84_wrong,0,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/37,adjunct_island_37,What do most drivers climb up without noticing most hills?,What do most drivers climb up most hills without noticing?,What do most drivers climb up most hills without noticing?,What do most drivers climb up without noticing most hills?,What do most drivers climb up without noticing most hills?,What do most drivers climb up most hills without noticing?
