word,stream_count,stream_log_freq_per_million,child_status,child_aoa_month,model_status,model_aoa_log10_step,model_curve_first_minus_last,current_exposure_status,current_cross_log10_word_pos,current_cross_word_pos,count_src__bnc_spoken,logfreq_src__bnc_spoken,count_src__childes,logfreq_src__childes,count_src__cleanqwen_fineweb_compact_view_reinvest,logfreq_src__cleanqwen_fineweb_compact_view_reinvest,count_src__gutenberg,logfreq_src__gutenberg,count_src__neutral_cleanqwen_topup_compact_reinvest::open_subtitles,logfreq_src__neutral_cleanqwen_topup_compact_reinvest::open_subtitles,count_src__open_subtitles,logfreq_src__open_subtitles,count_src__qwen_pair_packed,logfreq_src__qwen_pair_packed,count_src__simple_wiki,logfreq_src__simple_wiki,count_src__switchboard,logfreq_src__switchboard,childes_spoken_first_cross_log10_word_pos,childes_spoken_first_cross_source,childes_bnc_simple_first_cross_log10_word_pos,childes_bnc_simple_first_cross_source,written_first_control_cross_log10_word_pos,written_first_control_cross_source,qwen_clean_first_control_cross_log10_word_pos,qwen_clean_first_control_cross_source,largest_sources_first_cross_log10_word_pos,largest_sources_first_cross_source,smallest_sources_first_cross_log10_word_pos,smallest_sources_first_cross_source,alphabetical_sources_cross_log10_word_pos,alphabetical_sources_cross_source,source_child_aoa_enrichment_first_cross_log10_word_pos,source_child_aoa_enrichment_first_cross_source
airplane,6060,4.104377397922475,ok,20.857213364310372,threshold_above_upper_asymptote,,1.2439732918372517,ok,7.699013083036696,50004959.86468647,0,-2.4438068389025744,5330,5.332812297308436,60,2.6592340632441234,140,2.0223900532873285,10,11.667076144797488,120,1.8850547508431947,310,2.9307107772802503,90,2.145401920323359,0,0.8618025465900853,7.698970004336019,gutenberg,7.698970004336019,gutenberg,7.698970004336019,neutral_cleanqwen_topup_compact_reinvest::open_subtitles,7.698970004336019,neutral_cleanqwen_topup_compact_reinvest::open_subtitles,7.698970004336019,neutral_cleanqwen_topup_compact_reinvest::open_subtitles,7.698970004336019,childes,7.698786519592156,simple_wiki,7.6937536739156185,open_subtitles
alligator,1150,2.4427817234873292,,,,,,ok,7.699156432995127,50021468.0,0,-2.4438068389025744,1000,3.6598671299416945,20,1.57701558435169,10,-0.5714421783229946,0,8.622553707074063,20,0.11382988405684742,70,1.44813958572494,30,1.0577787532308447,0,0.8618025465900853,7.698970004336019,gutenberg,7.698970004336019,gutenberg,7.698969926163005,childes,7.693753594798004,simple_wiki,7.698786441386108,cleanqwen_fineweb_compact_view_reinvest,7.698970004336019,childes,7.698786519592156,simple_wiki,7.6937536739156185,open_subtitles
animal,8970,4.496526508871348,ok,24.330089945071023,threshold_above_upper_asymptote,,-0.21709320545196498,ok,7.698962731522598,49999162.69342252,270,3.849612439943907,3330,4.8624896977711405,1040,5.504047344041017,1020,4.0052305467634275,0,8.622553707074063,1020,4.021452980162384,1580,4.5580234075623896,710,4.206021017154634,0,0.8618025465900853,7.698970004336019,gutenberg,7.698970004336019,gutenberg,7.698969926163005,childes,7.698786441386108,bnc_spoken,7.698786441386108,cleanqwen_fineweb_compact_view_reinvest,7.698970004336019,childes,7.698786519592156,simple_wiki,7.698786519592156,bnc_spoken
ankle,660,1.8878269379742887,child_never_reaches_50pct,,not_attempted_no_child_aoa,,,ok,7.699156432995127,50021468.0,10,0.6007155988208485,80,1.1398691603424242,90,3.061940548913208,80,1.4654397489380457,0,8.622553707074063,240,2.576125087458301,110,1.8975423968645244,50,1.5620254058987928,0,0.8618025465900853,7.698970004336019,gutenberg,7.698970004336019,gutenberg,7.698969926163005,childes,7.698786441386108,bnc_spoken,7.698786441386108,cleanqwen_fineweb_compact_view_reinvest,7.698970004336019,childes,7.698786519592156,simple_wiki,7.698786519592156,bnc_spoken
ant,2490,3.2150685865252466,ok,25.413634821019915,flat_or_zero_amplitude,,-1.298238754272461,ok,7.699156432995127,50021468.0,20,1.2697652278017333,1670,4.172490237714718,90,3.061940548913208,160,2.1554765070835984,0,8.622553707074063,200,2.3942192446591086,190,2.4421790704734727,160,2.718346012187549,0,0.8618025465900853,7.698970004336019,gutenberg,7.698970004336019,gutenberg,7.698969926163005,childes,7.698786441386108,bnc_spoken,7.698786441386108,cleanqwen_fineweb_compact_view_reinvest,7.698970004336019,childes,7.698786519592156,simple_wiki,7.698786519592156,bnc_spoken
apple,9750,4.579903658740204,ok,18.28091715859917,flat_or_zero_amplitude,,-1.6998499393463131,ok,7.699156432995127,50021468.0,30,1.667067025270737,7040,5.611046445275273,40,2.2578926723198207,1290,4.239967583672196,0,8.622553707074063,270,2.6936770961990213,760,3.8265029876060646,320,3.4099343459782037,0,0.8618025465900853,7.698970004336019,gutenberg,7.698970004336019,gutenberg,7.698969926163005,childes,7.698786441386108,bnc_spoken,7.698786441386108,cleanqwen_fineweb_compact_view_reinvest,7.698970004336019,childes,7.698786519592156,simple_wiki,7.698786519592156,bnc_spoken
applesauce,800,2.080066346448678,,,,,,ok,7.699156432995127,50021468.0,0,-2.4438068389025744,760,3.385588087617254,0,-2.136556482352618,0,-3.6159646160464174,0,8.622553707074063,20,0.11382988405684742,20,0.2129517620510794,0,-3.0530951109424667,0,0.8618025465900853,7.678674223643472,qwen_pair_packed,7.678674223643472,qwen_pair_packed,7.698969926163005,childes,7.667309387832344,open_subtitles,7.680521159554612,qwen_pair_packed,7.698970004336019,childes,7.689485027938436,qwen_pair_packed,7.6937536739156185,open_subtitles
arm,9120,4.5131097201388775,ok,21.99539913263884,ok,6.725838454412328,0.3449408292770393,ok,7.698965918100969,49999529.55701754,280,3.885914066620122,2620,4.622732394160128,180,3.752321475980263,2660,4.963451918549952,0,8.622553707074063,1380,4.323606029282694,1600,4.570598235316635,400,3.6327658361258925,0,0.8618025465900853,7.698970004336019,gutenberg,7.698970004336019,gutenberg,7.698969926163005,childes,7.698786441386108,bnc_spoken,7.698786441386108,cleanqwen_fineweb_compact_view_reinvest,7.698970004336019,childes,7.698786519592156,simple_wiki,7.698786519592156,bnc_spoken
asleep,5260,3.9628111722602513,ok,24.723574946808974,ok,7.243230436993157,4.378847078843551,ok,7.698991590064799,50002485.210626185,190,3.4989925362241263,1050,3.7086334962029617,70,2.8122034080255505,2000,4.678334992810818,0,8.622553707074063,910,3.9073988970801476,1000,4.100782029930505,40,1.3413540437299722,0,0.8618025465900853,7.698970004336019,gutenberg,7.698970004336019,gutenberg,7.698969926163005,childes,7.698786441386108,bnc_spoken,7.698786441386108,cleanqwen_fineweb_compact_view_reinvest,7.698970004336019,childes,7.698786519592156,simple_wiki,7.698786519592156,bnc_spoken
aunt,7190,4.275345803338343,ok,25.525525066233225,ok,6.923067207370445,2.324421310424805,ok,7.699156432995127,50021468.0,90,2.754690192363251,960,3.619065958126518,20,1.57701558435169,3610,5.268784110404764,0,8.622553707074063,760,3.7273811096118323,1630,4.58916887113609,120,2.4317018225481886,0,0.8618025465900853,7.698970004336019,gutenberg,7.698970004336019,gutenberg,7.698969926163005,childes,7.698786441386108,bnc_spoken,7.698786441386108,cleanqwen_fineweb_compact_view_reinvest,7.698970004336019,childes,7.698786519592156,simple_wiki,7.698786519592156,bnc_spoken
