global_step,epoch,stage_length,n_chunks,charged_words,active_tokens,masked_tokens,microbatches,cumulative_words
1,0,64,998,42165,54461,8031,16,42165
2,0,64,998,42553,54835,8271,16,84718
3,0,64,998,42251,54483,8341,16,126969
4,0,64,998,42734,54706,8245,16,169703
5,0,64,998,42056,54260,8146,16,211759
6,0,64,998,41703,54357,8225,16,253462
7,0,64,998,42288,54638,8444,16,295750
8,0,64,998,42212,54744,8134,16,337962
9,0,64,998,42242,54403,8138,16,380204
10,0,64,998,42439,54996,8156,16,422643
11,0,64,998,39546,54872,8203,16,462189
12,0,64,998,39616,55203,8291,16,501805
13,0,64,998,39683,55513,8240,16,541488
14,0,64,998,39341,55046,8372,16,580829
15,0,64,998,39819,55515,8286,16,620648
16,0,64,998,39223,54970,8028,16,659871
17,0,64,998,39438,54734,8194,16,699309
18,0,64,998,38857,54564,8320,16,738166
19,0,64,998,39473,55112,8236,16,777639
20,0,64,998,39284,55506,8247,16,816923
21,0,64,998,39942,55660,8235,16,856865
22,0,64,998,39804,54688,8243,16,896669
23,0,64,998,39067,55384,8372,16,935736
24,0,64,998,40178,55196,8198,16,975914
25,0,64,998,39271,55583,8192,16,1015185
26,0,64,998,39322,55447,8404,16,1054507
27,0,64,998,38993,54774,8183,16,1093500
28,0,64,998,39429,55223,8031,16,1132929
29,0,64,998,39324,55011,8282,16,1172253
30,0,64,997,39661,55025,8570,16,1211914
31,0,64,997,39012,55119,8394,16,1250926
32,0,64,997,40096,55625,8342,16,1291022
33,0,64,997,39399,55019,8284,16,1330421
34,0,64,997,39309,55244,8428,16,1369730
35,0,64,997,39707,54915,8279,16,1409437
36,0,64,997,39805,55253,8104,16,1449242
37,0,64,997,40059,55202,8167,16,1489301
38,0,64,997,39065,55232,8331,16,1528366
39,0,64,997,39640,55102,8354,16,1568006
40,0,64,997,39179,54970,8403,16,1607185
41,0,64,997,39695,55353,8333,16,1646880
42,0,64,997,39127,55404,8229,16,1686007
43,0,64,997,38641,55024,8079,16,1724648
44,0,64,997,39543,54870,8116,16,1764191
45,0,64,997,39508,54821,8306,16,1803699
46,0,64,997,39515,55820,8189,16,1843214
47,0,64,997,38515,55169,8335,16,1881729
48,0,64,997,39058,54862,8291,16,1920787
49,0,64,997,39510,55212,8431,16,1960297
50,0,64,997,39138,55162,8216,16,1999435
51,0,64,997,39870,55543,8258,16,2039305
52,0,64,997,39761,55151,8369,16,2079066
53,0,64,997,39562,54953,8356,16,2118628
54,0,64,997,39173,55208,8201,16,2157801
55,0,64,997,39178,54970,8325,16,2196979
56,0,64,997,38982,54881,8284,16,2235961
57,0,64,997,39320,55286,8302,16,2275281
58,0,64,997,39612,54829,8211,16,2314893
59,0,64,997,40220,55562,8418,16,2355113
60,0,64,997,39088,55178,8238,16,2394201
61,0,64,997,38910,55107,8559,16,2433111
62,0,64,997,39548,55295,8581,16,2472659
63,0,64,997,39319,54853,8317,16,2511978
64,0,64,997,39200,55056,8084,16,2551178
65,0,64,997,39452,55155,8172,16,2590630
66,0,64,997,39321,54835,8409,16,2629951
67,0,64,997,39687,54887,8249,16,2669638
68,0,64,997,38863,55278,8279,16,2708501
69,0,64,997,39033,54947,8183,16,2747534
70,0,64,997,39474,55479,8308,16,2787008
71,0,64,997,39319,54887,8253,16,2826327
72,0,64,997,39968,55273,8320,16,2866295
73,0,64,997,39334,54631,8104,16,2905629
74,0,64,997,39303,55191,8306,16,2944932
75,0,64,997,39404,55487,8331,16,2984336
76,0,64,997,39873,55714,7999,16,3024209
77,0,64,997,39331,54740,8267,16,3063540
78,0,64,997,39308,54876,8097,16,3102848
79,0,64,997,39724,55458,8147,16,3142572
80,0,64,997,39483,54903,8371,16,3182055
81,0,64,997,39313,54890,8168,16,3221368
82,0,64,997,39476,55152,8091,16,3260844
83,0,64,997,39664,54924,8205,16,3300508
84,0,64,997,40161,55656,8291,16,3340669
85,0,64,997,39358,55257,8259,16,3380027
86,0,64,997,39641,54706,8052,16,3419668
87,0,64,997,39196,55335,8226,16,3458864
88,0,64,997,39532,55547,8261,16,3498396
89,0,64,997,39127,55148,8345,16,3537523
90,0,64,997,38695,54959,8190,16,3576218
91,0,64,997,39416,55447,8129,16,3615634
92,0,64,997,40139,55207,8135,16,3655773
93,0,64,997,39601,55291,8255,16,3695374
94,0,64,997,38985,54828,8317,16,3734359
95,0,64,997,39208,54293,8146,16,3773567
96,0,64,997,39040,54414,7983,16,3812607
97,0,64,997,39686,55288,8174,16,3852293
98,0,64,997,39508,55072,8062,16,3891801
99,0,64,997,39488,55304,8210,16,3931289
100,0,64,997,39118,55136,8265,16,3970407
101,0,64,997,39121,55094,8369,16,4009528
102,0,64,997,39529,55354,8390,16,4049057
103,0,64,997,39339,55380,8279,16,4088396
104,0,64,997,38863,55261,8256,16,4127259
105,0,64,997,39640,55311,8265,16,4166899
106,0,64,997,40451,55529,8258,16,4207350
107,0,64,997,39868,55316,7996,16,4247218
108,0,64,997,39829,55068,8405,16,4287047
109,0,64,997,39404,54920,8061,16,4326451
110,0,64,997,39211,54965,8273,16,4365662
111,0,64,997,39955,55427,8136,16,4405617
112,0,64,997,39077,54929,8288,16,4444694
113,0,64,997,39785,55278,8362,16,4484479
114,0,64,997,39190,54794,8052,16,4523669
115,0,64,997,39996,55231,8197,16,4563665
116,0,64,997,39113,54736,8181,16,4602778
117,0,64,997,39773,55260,8293,16,4642551
118,0,64,997,39122,54870,8254,16,4681673
119,0,64,997,39471,54863,8412,16,4721144
120,0,64,997,39478,54940,8251,16,4760622
121,0,64,997,39450,55244,8218,16,4800072
122,0,64,997,39886,55116,8227,16,4839958
123,0,64,997,39272,55495,8322,16,4879230
124,0,64,997,39834,55209,8364,16,4919064
125,0,64,997,39331,55149,8123,16,4958395
126,0,64,997,39512,55454,8326,16,4997907
127,0,64,997,38931,55096,8387,16,5036838
128,0,64,997,39715,55017,8254,16,5076553
129,0,64,997,40284,55114,8290,16,5116837
130,0,64,997,39123,54912,8384,16,5155960
131,0,64,997,39674,55097,7988,16,5195634
132,0,64,997,39472,54953,8399,16,5235106
133,0,64,997,39608,55407,8118,16,5274714
134,0,64,997,39211,55214,8198,16,5313925
135,0,64,997,39326,55163,8317,16,5353251
136,0,64,997,38890,55305,8352,16,5392141
137,0,64,997,39107,54927,8285,16,5431248
138,0,64,997,39530,55296,8379,16,5470778
139,0,64,997,38997,55277,8059,16,5509775
140,0,64,997,39707,55080,8095,16,5549482
141,0,64,997,39586,54672,8065,16,5589068
142,0,64,997,38933,55043,8279,16,5628001
143,0,64,997,39755,55490,8337,16,5667756
144,0,64,997,39556,55024,8250,16,5707312
145,0,64,997,39279,55270,8224,16,5746591
146,0,64,997,39298,54731,8371,16,5785889
147,0,64,997,39328,54931,8265,16,5825217
148,0,64,997,38924,55099,8109,16,5864141
149,0,64,997,38947,54563,8287,16,5903088
150,0,64,997,39230,55274,8134,16,5942318
151,0,64,997,39234,54852,8227,16,5981552
152,0,64,997,39211,55160,8315,16,6020763
153,0,64,997,39981,55078,8229,16,6060744
154,0,64,997,40005,55307,8273,16,6100749
155,0,64,997,39657,54891,8157,16,6140406
156,0,64,997,39534,55546,8248,16,6179940
157,0,64,997,39528,55135,8384,16,6219468
158,0,64,997,38644,54743,8271,16,6258112
159,0,64,997,40050,55443,8362,16,6298162
160,0,64,997,39592,55227,8375,16,6337754
161,0,64,997,38828,55532,8141,16,6376582
162,0,64,997,39804,55214,8285,16,6416386
163,0,64,997,39420,54976,8099,16,6455806
164,0,64,997,39889,55100,8362,16,6495695
165,0,64,997,39536,55275,8621,16,6535231
166,0,64,997,39932,54834,8221,16,6575163
167,0,64,997,39696,55032,8030,16,6614859
168,0,64,997,39120,55154,8305,16,6653979
169,0,64,997,39120,55363,8547,16,6693099
170,0,64,997,39630,55115,8513,16,6732729
171,0,64,997,38941,54917,8193,16,6771670
172,0,64,997,39342,54837,8370,16,6811012
173,0,64,997,39317,55733,8378,16,6850329
174,0,64,997,38977,55347,8195,16,6889306
175,0,64,997,39686,55354,8472,16,6928992
176,0,64,997,39413,55439,8348,16,6968405
177,0,64,997,39392,54562,8189,16,7007797
178,0,64,997,39796,54977,8166,16,7047593
179,0,64,997,39121,55446,8365,16,7086714
180,0,64,997,39283,54868,8250,16,7125997
181,0,64,997,38611,54680,8260,16,7164608
182,0,64,997,39480,55094,8308,16,7204088
183,0,64,997,39459,55739,8432,16,7243547
