probe_set,pair_id,packet_type,swap_pair_id,swap_packet_type,swap_update_words,swap_state_type_new,swap_new_state,swap_update_sentence
balanced_heldout,rw2s0_007606,UNCHANGED_DISTRACTOR_USE,rw_019063,UNCHANGED_DISTRACTOR_USE,12,possession_artifact,wearing a gray coat,Ethel arrived wearing a gray coat instead of her usual bright colors.
balanced_heldout,rw2s0_011096,UNCHANGED_DISTRACTOR_USE,rw2s0_020049,UNCHANGED_DISTRACTOR_USE,9,other_relation_state,relaxed and loose,The mouthpiece became relaxed and loose after the session.
balanced_heldout,rw2s0_017880,UNCHANGED_DISTRACTOR_USE,rw_009118,UNCHANGED_DISTRACTOR_USE,11,role_identity_affiliation,serves as a modern museum,The building was transformed into a modern museum for public use.
balanced_heldout,rw_002632,UNCHANGED_DISTRACTOR_USE,rw2s1_009495,UNCHANGED_DISTRACTOR_USE,12,location_containment,tolling loudly outside the window,The bell began tolling loudly outside the window while Scrooge sat up.
balanced_heldout,rw_023936,UNCHANGED_DISTRACTOR_USE,rw_040519,UNCHANGED_DISTRACTOR_USE,11,other_relation_state,runs a bakery downtown,The friend who was previously mentioned now runs a bakery downtown.
balanced_heldout,rw2s0_014674,UNCHANGED_DISTRACTOR_USE,rw2s1_012504,UNCHANGED_DISTRACTOR_USE,12,location_containment,has receded completely from the shore,The tide has receded completely from the shore after the storm passed.
balanced_heldout,rw2s1_018012,UNCHANGED_DISTRACTOR_USE,rw_015868,UNCHANGED_DISTRACTOR_USE,10,other_relation_state,contains a message about the cat's destiny,The note now contains a message about the cat's destiny.
balanced_heldout,rw2s0_021141,UNCHANGED_DISTRACTOR_USE,rw_009071,UNCHANGED_DISTRACTOR_USE,13,possession_artifact,holds a serious document,The desk now holds a serious document instead of a jiggly hula girl.
balanced_heldout,rw2s0_016104,UNCHANGED_DISTRACTOR_USE,rw2s0_017722,UNCHANGED_DISTRACTOR_USE,11,status_condition_event,closed for renovations,The county secondary school was closed for renovations earlier this week.
balanced_heldout,rw2s0_021911,UNCHANGED_DISTRACTOR_USE,rw2s0_019549,UNCHANGED_DISTRACTOR_USE,10,location_containment,fielded a pitcher in Little League,The California Angels fielded a pitcher in Little League instead.
