target,decoder_mode,layer_index,layer,pair_id,family,template_id,alt_type,alt_0,alt_1,correct_AB,correct_BA,margin_AB,margin_BA,four_cell_M,both_correct,swap_both_correct,erased_bias,s_AB_alt0,s_AB_alt1,s_BA_alt0,s_BA_alt1,s_erased_alt0,s_erased_alt1
scale1p75_live_80M,raw,0,emb,151000,natural_transfer,nt01,people,Arun,Nina,Nina,Arun,13.046234130859375,-13.046234130859375,0.0,False,False,12.002007484436035,-25.05137062072754,-12.005136489868164,-25.05137062072754,-12.005136489868164,-23.280223846435547,-11.278216361999512
scale1p75_live_80M,raw,0,emb,151001,natural_transfer,nt01,people,Leah,Omar,Omar,Leah,-11.23874282836914,11.23874282836914,0.0,False,False,-10.677986145019531,-14.499771118164062,-25.738513946533203,-14.499771118164062,-25.738513946533203,-13.653522491455078,-24.33150863647461
scale1p75_live_80M,raw,0,emb,151002,natural_transfer,nt01,people,Clara,Nina,Nina,Clara,3.045180320739746,-3.045180320739746,0.0,False,False,2.6004486083984375,-13.706093788146973,-10.660913467407227,-13.706093788146973,-10.660913467407227,-13.87866497039795,-11.278216361999512
scale1p75_live_80M,raw,0,emb,151003,natural_transfer,nt01,people,Mina,Ava,Ava,Mina,-2.0907974243164062,2.0907974243164062,0.0,False,False,-2.391998291015625,-20.860340118408203,-22.95113754272461,-20.860340118408203,-22.95113754272461,-19.640762329101562,-22.032760620117188
scale1p75_live_80M,raw,0,emb,151004,natural_transfer,nt01,people,Pia,Leo,Leo,Pia,7.759737014770508,-7.759737014770508,0.0,False,False,8.68149185180664,-21.545543670654297,-13.785806655883789,-21.545543670654297,-13.785806655883789,-21.513839721679688,-12.832347869873047
scale1p75_live_80M,raw,0,emb,151005,natural_transfer,nt01,people,Rosa,Nina,Nina,Rosa,10.958884239196777,-10.958884239196777,0.0,False,False,10.188237190246582,-22.335067749023438,-11.37618350982666,-22.335067749023438,-11.37618350982666,-21.466453552246094,-11.278216361999512
scale1p75_live_80M,raw,0,emb,151006,natural_transfer,nt01,people,Jules,Ava,Ava,Jules,1.6114692687988281,-1.6114692687988281,0.0,False,False,2.3300304412841797,-24.736351013183594,-23.124881744384766,-24.736351013183594,-23.124881744384766,-24.362791061401367,-22.032760620117188
scale1p75_live_80M,raw,0,emb,151007,natural_transfer,nt01,people,Owen,Zoe,Zoe,Owen,-10.778382301330566,10.778382301330566,0.0,False,False,-11.05119800567627,-13.021265983581543,-23.79964828491211,-13.021265983581543,-23.79964828491211,-11.91586971282959,-22.96706771850586
scale1p75_live_80M,raw,0,emb,151008,natural_transfer,nt01,people,Mira,Pia,Pia,Mira,2.7276229858398438,-2.7276229858398438,0.0,False,False,1.3371620178222656,-23.65201187133789,-20.924388885498047,-23.65201187133789,-20.924388885498047,-22.851001739501953,-21.513839721679688
scale1p75_live_80M,raw,0,emb,151009,natural_transfer,nt01,people,Eli,Mina,Mina,Eli,-5.640009880065918,5.640009880065918,0.0,False,False,-5.284845352172852,-14.813996315002441,-20.45400619506836,-14.813996315002441,-20.45400619506836,-14.355916976928711,-19.640762329101562
