global_step,epoch,stage_length,step_in_epoch,n_chunks,charged_words,active_tokens,masked_tokens,microbatches,cumulative_words
1,0,64,0,998,39624,55113,8275,16,39624
2,0,64,1,998,39319,55216,8419,16,78943
3,0,64,2,998,39456,55003,8418,16,118399
4,0,64,3,998,40117,55442,8295,16,158516
5,0,64,4,998,39776,55017,8394,16,198292
6,0,64,5,998,39805,55278,8381,16,238097
7,0,64,6,998,38887,55347,8283,16,276984
8,0,64,7,998,39320,55112,8166,16,316304
9,0,64,8,998,40199,54986,8113,16,356503
10,0,64,9,998,39655,54723,8081,16,396158
11,0,64,10,998,39977,55171,8363,16,436135
12,0,64,11,998,39276,55317,8149,16,475411
13,0,64,12,998,39903,55405,8472,16,515314
14,0,64,13,998,38850,54743,7955,16,554164
15,0,64,14,998,39717,54970,8124,16,593881
16,0,64,15,998,38820,54810,8291,16,632701
17,0,64,16,998,39058,55091,8232,16,671759
18,0,64,17,998,39471,55238,8217,16,711230
19,0,64,18,998,39137,55078,8469,16,750367
20,0,64,19,998,39193,54987,8309,16,789560
21,0,64,20,998,39140,55055,8264,16,828700
22,0,64,21,998,39620,55504,8332,16,868320
23,0,64,22,998,39654,55016,8067,16,907974
24,0,64,23,998,39819,55190,8174,16,947793
25,0,64,24,998,39663,55343,8251,16,987456
26,0,64,25,998,38783,54684,8203,16,1026239
27,0,64,26,998,38833,55254,8342,16,1065072
28,0,64,27,998,39379,55064,8232,16,1104451
29,0,64,28,998,38903,54986,8508,16,1143354
30,0,64,29,997,39341,55155,8324,16,1182695
31,0,64,30,997,39474,55090,8340,16,1222169
32,0,64,31,997,39478,55136,8342,16,1261647
33,0,64,32,997,39061,55161,8253,16,1300708
34,0,64,33,997,39842,55502,8459,16,1340550
35,0,64,34,997,39560,55086,8266,16,1380110
36,0,64,35,997,40029,55655,8100,16,1420139
37,0,64,36,997,39042,55413,8121,16,1459181
38,0,64,37,997,39296,55227,8338,16,1498477
39,0,64,38,997,39552,54839,8081,16,1538029
40,0,64,39,997,38851,54817,8356,16,1576880
41,0,64,40,997,38965,55072,8348,16,1615845
42,0,64,41,997,39714,54893,8353,16,1655559
43,0,64,42,997,39352,55476,8234,16,1694911
44,0,64,43,997,39644,55415,8255,16,1734555
45,0,64,44,997,39232,54892,8099,16,1773787
46,0,64,45,997,39449,54944,8284,16,1813236
47,0,64,46,997,39375,54835,8459,16,1852611
48,0,64,47,997,39720,55386,8418,16,1892331
49,0,64,48,997,40164,55367,8425,16,1932495
50,0,64,49,997,40262,55046,8218,16,1972757
51,0,64,50,997,39600,55357,8418,16,2012357
52,0,64,51,997,39677,54647,8124,16,2052034
53,0,64,52,997,39928,55109,8341,16,2091962
54,0,64,53,997,39306,55297,8355,16,2131268
55,0,64,54,997,39725,55202,8483,16,2170993
56,0,64,55,997,39234,55360,8145,16,2210227
57,0,64,56,997,38901,55294,8273,16,2249128
58,0,64,57,997,39038,55029,8143,16,2288166
59,0,64,58,997,39304,55335,8407,16,2327470
60,0,64,59,997,39352,55021,8171,16,2366822
61,0,64,60,997,39443,54856,8215,16,2406265
62,0,64,61,997,38975,54918,8155,16,2445240
63,0,64,62,997,39705,55450,8594,16,2484945
64,0,64,63,997,39215,55384,8176,16,2524160
65,0,64,64,997,39196,55129,8398,16,2563356
66,0,64,65,997,39492,54725,8077,16,2602848
67,0,64,66,997,39947,55133,8294,16,2642795
68,0,64,67,997,39598,55430,8301,16,2682393
69,0,64,68,997,40201,54983,8273,16,2722594
70,0,64,69,997,40419,55502,8526,16,2763013
71,0,64,70,997,39740,55321,8199,16,2802753
72,0,64,71,997,40147,55032,8196,16,2842900
73,0,64,72,997,39324,54994,8295,16,2882224
74,0,64,73,997,39476,54806,8297,16,2921700
75,0,64,74,997,39195,54910,8170,16,2960895
76,0,64,75,997,39186,55099,8284,16,3000081
77,0,64,76,997,38939,55055,8197,16,3039020
78,0,64,77,997,39216,55413,8143,16,3078236
79,0,64,78,997,39727,55140,8259,16,3117963
80,0,64,79,997,39563,55010,8354,16,3157526
81,0,64,80,997,40237,55348,8386,16,3197763
82,0,64,81,997,39613,55165,8497,16,3237376
83,0,64,82,997,39315,55776,8385,16,3276691
84,0,64,83,997,39368,54540,8123,16,3316059
85,0,64,84,997,39357,55217,8368,16,3355416
86,0,64,85,997,39754,54711,8315,16,3395170
87,0,64,86,997,39762,55164,8297,16,3434932
88,0,64,87,997,39235,55000,8373,16,3474167
