pair_id,source,role_position_relation,target_entity,distractor_entity,target_source_answer,distractor_source_answer,shared_new_answer,target_answer_exact_in_raw_source,distractor_answer_exact_in_raw_source,target_answer_overlap_raw_source,distractor_answer_overlap_raw_source,target_answer_self_certification_gap,distractor_answer_self_certification_gap,target_state_overlap_raw_source,distractor_state_overlap_raw_source,update_event_class,target_entity_suspect_form,distractor_entity_suspect_form,n_auto_flags,auto_flags,U_mean_new_minus_source,R_mean_source_minus_new,beta,abs_alpha,gamma,joint_correct_mean
rw_007461,gutenberg,target_earlier,Kitty,Sir John,perfectly suited robe,ordered favorite's robe,gown of silk and lace,False,False,0.3333333333333333,0.6666666666666666,True,False,0.25,1.0,weak_or_unclear,False,False,6,target_answer_certified_by_generated_state;target_answer_not_exact_raw_span;distractor_answer_not_exact_raw_span;target_answer_weak_raw_overlap;target_state_weak_raw_overlap;update_not_explicit_replacement_like,1.218665981292725,-1.3667196989059445,-0.07402685880660975,1.2926928400993347,-1.3667196989059445,False
rw2s0_008771,gutenberg,target_earlier,Greeks,city,mitigated evils,political units,arbitration treaties,False,False,1.0,0.0,False,True,1.0,0.3333333333333333,additive_or_descriptive,False,False,7,distractor_answer_certified_by_generated_state;target_answer_not_exact_raw_span;distractor_answer_not_exact_raw_span;distractor_answer_weak_raw_overlap;distractor_state_weak_raw_overlap;update_not_explicit_replacement_like;update_additive_or_coexistence_risk,0.6742053826649981,-0.5354226271311449,0.06939137776692661,0.6048140048980715,-0.5354226271311449,False
rw2s1_004551,gutenberg,target_earlier,Dacrefield,Hall,business affairs,hospitality,family reunion,False,True,1.0,1.0,False,False,0.5,0.3333333333333333,weak_or_unclear,False,False,3,target_answer_not_exact_raw_span;distractor_state_weak_raw_overlap;update_not_explicit_replacement_like,11.38003108712534,-11.750835777881244,-0.18540234537795186,11.565433432503292,-11.750835777881244,False
rw2s1_009238,gutenberg,target_later,Phil,Balaclava,schooner,Balaclava,hospital ship,True,True,1.0,1.0,False,False,1.0,0.5,strong_replacement_like,False,False,0,,-1.320712248484294,1.9766954580942793,0.3279916048049927,1.6487038532892866,-1.320712248484294,False
rw2s0_001731,simple_wiki,target_later,Netherlands,Canada,number 14,number 11,number 5,True,True,1.0,1.0,False,False,0.5,0.5,weak_or_unclear,False,False,1,update_not_explicit_replacement_like,1.5482780919410288,-1.4364498355425894,0.055914128199219704,1.4923639637418091,-1.4364498355425894,False
rw2s1_006925,simple_wiki,target_earlier,Nicholas,Patriarch Photios,refused recognition,attacked as heretic,diplomatic letters,False,False,0.5,1.0,False,False,1.0,1.0,weak_or_unclear,False,False,3,target_answer_not_exact_raw_span;distractor_answer_not_exact_raw_span;update_not_explicit_replacement_like,10.066280600925287,-5.489499087134997,2.288390756895145,7.777889844030142,-5.4894990871349965,False
rw2s1_000297,simple_wiki,target_earlier,Cam Thinh Dong Commune,Cam Ranh Town,Cam Thinh Dong Commune,Cam Ranh Town,coastal district,True,True,1.0,1.0,False,False,0.8888888888888888,0.875,weak_or_unclear,False,True,2,update_not_explicit_replacement_like;suspect_entity_surface_form,7.028779923915863,-9.192948877811432,-1.0820844769477844,8.110864400863647,-9.192948877811432,False
rw_019197,gutenberg,target_earlier,Merle,Jessop,fetch Merle,fetch Jessop,examine the documents,True,False,1.0,1.0,False,False,1.0,1.0,weak_or_unclear,False,False,2,distractor_answer_not_exact_raw_span;update_not_explicit_replacement_like,8.516568183898926,-9.16892917950948,-0.3261804978052769,8.842748681704203,-9.16892917950948,False
rw_012042,simple_wiki,target_later,Malcolm Hay Personal,Time Out Magazine,Personal life,Magazine content,Career details,True,False,1.0,0.5,False,False,1.0,0.75,weak_or_unclear,True,False,3,distractor_answer_not_exact_raw_span;update_not_explicit_replacement_like;suspect_entity_surface_form,3.7666736841201782,-4.38020646572113,-0.3067663908004761,4.073440074920654,-4.38020646572113,False
rw_022048,childes,target_later,*CHI,MOT,okay,organized things,lead the next task,True,False,1.0,1.0,False,False,0.3333333333333333,0.5,weak_or_unclear,True,False,4,distractor_answer_not_exact_raw_span;target_state_weak_raw_overlap;update_not_explicit_replacement_like;suspect_entity_surface_form,2.3684146404266357,-2.4154341220855713,-0.023509740829467773,2.3919243812561035,-2.4154341220855713,False
rw2s1_000371,gutenberg,target_later,Veii,Romans,assembling forces,victims of surprise attack,defeated in battle,False,False,1.0,0.3333333333333333,False,True,0.75,0.25,weak_or_unclear,False,False,6,distractor_answer_certified_by_generated_state;target_answer_not_exact_raw_span;distractor_answer_not_exact_raw_span;distractor_answer_weak_raw_overlap;distractor_state_weak_raw_overlap;update_not_explicit_replacement_like,3.0918121337890634,-3.1669741471608477,-0.03758100668589215,3.1293931404749555,-3.1669741471608477,False
rw2s0_031693,simple_wiki,target_later,London England,August,location of Evans' death,month of Evans' death,site of a memorial service,False,False,0.3333333333333333,0.3333333333333333,True,True,0.3333333333333333,0.3333333333333333,strong_replacement_like,False,True,10,target_answer_certified_by_generated_state;distractor_answer_certified_by_generated_state;target_answer_not_exact_raw_span;distractor_answer_not_exact_raw_span;target_answer_weak_raw_overlap;distractor_answer_weak_raw_overlap;target_state_weak_raw_overlap;distractor_state_weak_raw_overlap;suspect_entity_surface_form;use_frame_lexically_favors_new_answer,0.8995217641194664,-0.6697009086608894,0.1149104277292885,0.7846113363901779,-0.6697009086608894,False
rw2s1_002496,bnc_spoken,target_earlier,Iraqi,British,defensive positions,ground attack bombers,mobile artillery units,True,True,1.0,1.0,False,False,1.0,0.6,weak_or_unclear,False,True,2,update_not_explicit_replacement_like;suspect_entity_surface_form,-0.6051938533782959,0.48929810523986816,-0.05794787406921387,0.547245979309082,-0.6051938533782959,False
rw_007895,simple_wiki,target_later,Republicans,La Nuova Sardegna,city councilor activities,unitary list,primary opposition,True,True,1.0,1.0,False,False,1.0,1.0,additive_or_descriptive,False,False,2,update_not_explicit_replacement_like;update_additive_or_coexistence_risk,4.632453680038452,-2.7486879229545593,0.9418828785419464,3.6905708014965057,-2.7486879229545593,False
rw_025630,simple_wiki,target_later,Southern California,Los Angeles County Fair,world-class work,art exhibition,contemporary installations,True,True,1.0,1.0,False,False,0.75,0.5,additive_or_descriptive,False,False,2,update_not_explicit_replacement_like;update_additive_or_coexistence_risk,-3.5054575602213545,4.68254292011261,0.5885426799456277,4.094000240166983,-3.505457560221355,False
