direction,column,subtask,subgroup,fine_group,item_key,pred_id,correct_82,correct_84,correct_100,gold,pred_82,pred_84,pred_100,text_a,text_b
loss_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/120,adjunct_island_120,1,0,0,Who has Ann alarmed while insulting Omar?,Who has Ann alarmed while insulting Omar?,Who has Ann alarmed Omar while insulting?,Who has Ann alarmed Omar while insulting?,Who has Ann alarmed while insulting Omar?,Who has Ann alarmed Omar while insulting?
loss_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/151,adjunct_island_151,1,0,0,What will these girls drop by while exploring every grocery store?,What will these girls drop by while exploring every grocery store?,What will these girls drop by every grocery store while exploring?,What will these girls drop by every grocery store while exploring?,What will these girls drop by while exploring every grocery store?,What will these girls drop by every grocery store while exploring?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/179,adjunct_island_179,0,1,1,What has Noah toured after passing every high school?,What has Noah toured every high school after passing?,What has Noah toured after passing every high school?,What has Noah toured after passing every high school?,What has Noah toured after passing every high school?,What has Noah toured every high school after passing?
loss_84_to_100_no_82_84_flip,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/180,adjunct_island_180,1,1,0,Who had Laura talked about before hurting Renee?,Who had Laura talked about before hurting Renee?,Who had Laura talked about before hurting Renee?,Who had Laura talked about Renee before hurting?,Who had Laura talked about before hurting Renee?,Who had Laura talked about Renee before hurting?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/183,adjunct_island_183,0,1,0,Who can Jessica respect while hurting Frank?,Who can Jessica respect Frank while hurting?,Who can Jessica respect while hurting Frank?,Who can Jessica respect Frank while hurting?,Who can Jessica respect while hurting Frank?,Who can Jessica respect Frank while hurting?
loss_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/184,adjunct_island_184,1,0,1,What should Theresa sell while revealing a lot of cars?,What should Theresa sell while revealing a lot of cars?,What should Theresa sell a lot of cars while revealing?,What should Theresa sell while revealing a lot of cars?,What should Theresa sell while revealing a lot of cars?,What should Theresa sell a lot of cars while revealing?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/211,adjunct_island_211,0,1,0,Who should current events upset without irritating Cheryl?,Who should current events upset Cheryl without irritating?,Who should current events upset without irritating Cheryl?,Who should current events upset Cheryl without irritating?,Who should current events upset without irritating Cheryl?,Who should current events upset Cheryl without irritating?
gain_84_to_100_no_82_84_flip,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/241,adjunct_island_241,0,0,1,Who could the museums dislike without aggravating Amelia?,Who could the museums dislike Amelia without aggravating?,Who could the museums dislike Amelia without aggravating?,Who could the museums dislike without aggravating Amelia?,Who could the museums dislike without aggravating Amelia?,Who could the museums dislike Amelia without aggravating?
gain_82_to_84,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/311,adjunct_island_311,0,1,0,Who might a lot of dancers see before distracting Kristin?,Who might a lot of dancers see Kristin before distracting?,Who might a lot of dancers see before distracting Kristin?,Who might a lot of dancers see Kristin before distracting?,Who might a lot of dancers see before distracting Kristin?,Who might a lot of dancers see Kristin before distracting?
gain_84_to_100_no_82_84_flip,BLiMP,adjunct_island,island_effects,syntax,BLiMP/adjunct_island/323,adjunct_island_323,0,0,1,What was Debra breaking before noticing all glasses?,What was Debra breaking all glasses before noticing?,What was Debra breaking all glasses before noticing?,What was Debra breaking before noticing all glasses?,What was Debra breaking before noticing all glasses?,What was Debra breaking all glasses before noticing?
