lexeme,clean_qwen_10M,compact_view_reinvest_10M,compact_repeat_reinvest_10M,lengthmatched_compact_reinvest_10M,compact_view_minus_clean,compact_view_vs_clean_ratio
above,1253,1331,1343,1253,78,1.0622505985634478
below,617,692,691,617,75,1.1215559157212318
left,4238,4200,4201,4238,-38,0.9910335063709297
right,20156,19352,19337,20156,-804,0.9601111331613416
front,1889,1870,1872,1889,-19,0.9899417681312864
behind,2074,2054,2060,2074,-20,0.9903567984570878
north,1758,1811,1795,1758,53,1.0301478953356087
south,1659,1780,1752,1659,121,1.0729355033152501
east,1193,1255,1248,1193,62,1.051969823973177
west,1288,1340,1328,1288,52,1.0403726708074534
close,2072,2091,2099,2072,19,1.0091698841698842
far,3055,3054,3063,3055,-1,0.9996726677577742
boss,382,359,358,382,-23,0.9397905759162304
subordinate,7,6,6,7,-1,0.8571428571428571
parent,116,136,134,116,20,1.1724137931034482
child,2185,2328,2308,2185,143,1.065446224256293
teacher,882,914,905,882,32,1.036281179138322
student,303,416,397,303,113,1.372937293729373
tenant,22,22,22,22,0,1.0
landlord,44,44,43,44,0,1.0
friend,2499,2392,2391,2499,-107,0.9571828731492596
enemy,640,646,642,640,6,1.009375
sibling,21,21,20,21,0,1.0
colleague,44,42,42,44,-2,0.9545454545454546
kick,239,226,227,239,-13,0.9456066945606695
drop,771,764,759,771,-7,0.9909208819714657
touch,1086,1054,1052,1086,-32,0.9705340699815838
throw,944,913,913,944,-31,0.9671610169491526
catch,854,832,831,854,-22,0.9742388758782201
break,1435,1404,1402,1435,-31,0.978397212543554
fix,839,817,807,839,-22,0.9737783075089392
push,739,707,708,739,-32,0.9566982408660352
pull,911,889,892,911,-22,0.9758507135016465
lift,329,325,324,329,-4,0.9878419452887538
collide,18,18,18,18,0,1.0
attract,79,90,86,79,11,1.139240506329114
repel,37,38,38,37,1,1.027027027027027
heat,343,492,459,343,149,1.434402332361516
cool,1034,1030,1029,1034,-4,0.9961315280464217
accelerate,12,20,18,12,8,1.6666666666666667
slow,525,549,541,525,24,1.0457142857142858
sink,230,230,231,230,0,1.0
float,66,54,54,66,-12,0.8181818181818182
roll,531,524,520,531,-7,0.9868173258003766
slide,307,311,308,307,4,1.013029315960912
fall,1782,1730,1725,1782,-52,0.9708193041526375
rise,441,484,475,441,43,1.0975056689342404
grow,687,748,726,687,61,1.0887918486171762
shrink,55,58,56,55,3,1.0545454545454545
stir,149,149,148,149,0,1.0
flap,85,85,85,85,0,1.0
drip,49,48,47,49,-1,0.9795918367346939
ripple,12,12,12,12,0,1.0
drape,8,8,8,8,0,1.0
pour,348,323,323,348,-25,0.9281609195402298
rip,94,88,88,94,-6,0.9361702127659575
squeeze,153,146,146,153,-7,0.954248366013072
fold,142,133,131,142,-9,0.9366197183098591
wrinkle,5,5,5,5,0,1.0
splash,67,60,60,67,-7,0.8955223880597015
tap,127,131,129,127,4,1.031496062992126
hang,635,617,617,635,-18,0.9716535433070866
