global_step,epoch,stage_length,step_in_epoch,n_chunks,charged_words,active_tokens,masked_tokens,microbatches,cumulative_words
1,0,256,0,302,40170,55799,8393,5,40170
2,0,256,1,302,39183,55161,8378,5,79353
3,0,256,2,302,39665,55216,8326,5,119018
4,0,256,3,302,40489,55910,8438,5,159507
5,0,256,4,302,39973,55427,8255,5,199480
6,0,256,5,302,40206,55941,8371,5,239686
7,0,256,6,302,38928,55230,8063,5,278614
8,0,256,7,302,39608,55333,8161,5,318222
9,0,256,8,302,41315,56856,8353,5,359537
10,0,256,9,302,40353,55492,8326,5,399890
11,0,256,10,302,39972,55380,8324,5,439862
12,0,256,11,301,39042,54754,8282,5,478904
13,0,256,12,301,39628,55246,8486,5,518532
14,0,256,13,301,38239,53803,8007,5,556771
15,0,256,14,301,40219,55557,8293,5,596990
16,0,256,15,301,37519,53101,8009,5,634509
17,0,256,16,301,38965,54851,8286,5,673474
18,0,256,17,301,39425,55342,8449,5,712899
19,0,256,18,301,39336,55232,8221,5,752235
20,0,256,19,301,38278,53732,8054,5,790513
21,0,256,20,301,38347,53938,7992,5,828860
22,0,256,21,301,39876,55820,8375,5,868736
23,0,256,22,301,40413,56022,8438,5,909149
24,0,256,23,301,39256,54435,8027,5,948405
25,0,256,24,301,39161,54724,8047,5,987566
26,0,256,25,301,39104,55119,8272,5,1026670
27,0,256,26,301,38802,55321,8516,5,1065472
28,0,256,27,301,38982,54420,8099,5,1104454
29,0,256,28,301,38741,54726,8300,5,1143195
30,0,256,29,301,39660,55603,8283,5,1182855
31,0,256,30,301,38780,54153,7930,5,1221635
32,0,256,31,301,39626,55253,8130,5,1261261
33,0,256,32,301,38466,54550,8009,5,1299727
34,0,256,33,301,39968,55527,8544,5,1339695
35,0,256,34,301,39579,55254,8400,5,1379274
36,0,256,35,301,40705,56470,8490,5,1419979
37,0,256,36,301,38889,54811,8273,5,1458868
38,0,256,37,301,39124,55404,8104,5,1497992
39,0,256,38,301,40037,55494,8382,5,1538029
40,0,256,39,301,38252,53993,7986,5,1576281
41,0,256,40,301,38488,54451,8065,5,1614769
42,0,256,41,301,40135,55457,8375,5,1654904
43,0,256,42,301,39402,55525,8247,5,1694306
44,0,256,43,301,39635,55332,8424,5,1733941
45,0,256,44,301,38412,53852,8184,5,1772353
46,0,256,45,301,40035,55687,8293,5,1812388
47,0,256,46,301,40063,55795,8379,5,1852451
48,0,256,47,301,40002,55828,8388,5,1892453
49,0,256,48,301,41193,56743,8593,5,1933646
50,0,256,49,301,40597,55747,8494,5,1974243
51,0,256,50,301,40573,56457,8438,5,2014816
52,0,256,51,301,39423,54274,8251,5,2054239
53,0,256,52,301,39947,55267,8446,5,2094186
54,0,256,53,301,40063,56296,8367,5,2134249
55,0,256,54,301,39812,55472,8319,5,2174061
56,0,256,55,301,38948,54906,8465,5,2213009
57,0,256,56,301,38177,54138,8093,5,2251186
58,0,256,57,301,38665,54566,8081,5,2289851
59,0,256,58,301,39177,55058,8258,5,2329028
60,0,256,59,301,39952,55791,8290,5,2368980
61,0,256,60,301,39508,55006,8086,5,2408488
62,0,256,61,301,38584,54391,8068,5,2447072
63,0,256,62,301,39836,55945,8341,5,2486908
64,0,256,63,301,39309,55338,8326,5,2526217
65,0,256,64,301,38691,54484,8135,5,2564908
66,0,256,65,301,39495,54461,8110,5,2604403
67,0,256,66,301,40042,55531,8361,5,2644445
68,0,256,67,301,39887,55617,8274,5,2684332
69,0,256,68,301,40684,55516,8048,5,2725016
70,0,256,69,301,40765,56366,8473,5,2765781
71,0,256,70,301,40127,55472,8309,5,2805908
72,0,256,71,301,41485,56910,8551,5,2847393
73,0,256,72,301,39173,55017,8149,5,2886566
74,0,256,73,301,39796,55408,8396,5,2926362
75,0,256,74,301,39359,54866,8217,5,2965721
76,0,256,75,301,38159,54119,8074,5,3003880
77,0,256,76,301,37785,53390,7991,5,3041665
78,0,256,77,301,39311,55273,8356,5,3080976
79,0,256,78,301,38726,53779,8229,5,3119702
80,0,256,79,301,38925,54037,8192,5,3158627
81,0,256,80,301,40250,55430,8218,5,3198877
82,0,256,81,301,39204,54765,8237,5,3238081
83,0,256,82,301,39307,55670,8270,5,3277388
84,0,256,83,301,39446,54526,8240,5,3316834
85,0,256,84,301,38605,54213,8068,5,3355439
86,0,256,85,301,40671,55888,8479,5,3396110
87,0,256,86,301,38305,53253,7979,5,3434415
88,0,256,87,301,38246,53448,7969,5,3472661
89,0,256,88,301,40073,55939,8479,5,3512734
90,0,256,89,301,39088,54752,8265,5,3551822
91,0,256,90,301,39810,54985,8259,5,3591632
92,0,256,91,301,39954,55038,8211,5,3631586
93,0,256,92,301,38768,55068,8021,5,3670354
94,0,256,93,301,39110,54783,8326,5,3709464
95,0,256,94,301,38793,53974,8132,5,3748257
96,0,256,95,301,39604,55042,8435,5,3787861
97,0,256,96,301,38696,54307,8094,5,3826557
98,0,256,97,301,40096,55622,8194,5,3866653
99,0,256,98,301,40056,55359,8402,5,3906709
100,0,256,99,301,40618,55394,8143,5,3947327
101,0,256,100,301,39961,56168,8675,5,3987288
102,0,256,101,301,39766,55345,8366,5,4027054
103,0,256,102,301,40102,55186,8310,5,4067156
104,0,256,103,301,39520,55163,8420,5,4106676
105,0,256,104,301,38409,54608,8298,5,4145085
106,0,256,105,301,40280,56011,8536,5,4185365
107,0,256,106,301,38746,55053,8356,5,4224111
108,0,256,107,301,38681,54083,8054,5,4262792
109,0,256,108,301,40044,56303,8407,5,4302836
110,0,256,109,301,39598,55135,8143,5,4342434
111,0,256,110,301,39751,55147,8255,5,4382185
112,0,256,111,301,38437,53821,8150,5,4420622
113,0,256,112,301,39078,54470,8254,5,4459700
114,0,256,113,301,39915,55613,8261,5,4499615
115,0,256,114,301,40390,56271,8442,5,4540005
116,0,256,115,301,40374,56317,8476,5,4580379
117,0,256,116,301,38468,53726,7959,5,4618847
118,0,256,117,301,39199,54903,8194,5,4658046
119,0,256,118,301,39513,54785,8151,5,4697559
120,0,256,119,301,39297,54795,8211,5,4736856
121,0,256,120,301,39094,55017,8132,5,4775950
