segment,unit,signal,count,per_1000_words,units_any,units_any_pct
pair_source_shared,pair,comps_head_any,21666,31.378853381416867,16586,49.82127301673125
pair_source_shared,pair,entity_command_total,167,0.24186598886257812,163,0.48962181971103297
pair_source_shared,pair,entity_contains,112,0.16220952546472306,110,0.3304196329338259
pair_source_shared,pair,entity_move_from_to,7,0.010138095341545191,7,0.021026703913970744
pair_source_shared,pair,entity_predicate_signature,590,0.854496607358809,567,1.70316301703163
pair_source_shared,pair,entity_put_into,19,0.02751768735562266,19,0.0570724820522063
pair_source_shared,pair,entity_remove_from,29,0.04200068070068722,28,0.08410681565588297
pair_source_shared,pair,entity_signature,24955,36.1423098926086,17346,52.10417229881949
pair_source_shared,pair,pronoun,29565,42.81896982468337,18581,55.813883632212914
pair_source_shared,pair,property_copula,25361,36.73031942241822,19193,57.65221831726293
pair_source_shared,pair,property_frame,706,1.022499330161558,695,2.0876513171728095
pair_source_shared,pair,property_modal,3406,4.932907533328988,3225,9.687302874650806
pair_source_shared,pair,property_narrow,9728,14.089055926078801,8448,25.376227809317836
pair_source_shared,pair,property_possession,5616,8.133649062588255,5080,15.259379411853052
pair_source_shared,pair,state_change,6557,9.49649873635883,5717,17.17280946802439
pair_source_shared,pair,state_containment,2905,4.207309566741254,2721,8.173380192844913
pair_source_shared,pair,state_movement,1286,1.862512944175302,1197,3.5955663692889974
pair_source_shared,pair,state_total,12961,18.77140767453817,10442,31.36583460995464
pair_source_shared,pair,state_transfer,2213,3.2050864272627866,2088,6.2719653960529875
view_added_rewrite,pair,comps_head_any,10937,25.546456383927946,9846,29.575560962422276
view_added_rewrite,pair,entity_command_total,64,0.14949009861674942,63,0.1892403352257367
view_added_rewrite,pair,entity_contains,35,0.08175239768103484,35,0.1051335195698537
view_added_rewrite,pair,entity_move_from_to,6,0.014014696745320259,6,0.018022889069117778
view_added_rewrite,pair,entity_predicate_signature,383,0.8946048089096099,376,1.1294343816647143
view_added_rewrite,pair,entity_put_into,4,0.009343131163546839,4,0.012015259379411853
view_added_rewrite,pair,entity_remove_from,19,0.04437987302684749,19,0.0570724820522063
