substrate,rank,domain,record_count,word_count
common compact/breadth FineWeb source anchors,1,no_domain,8562,182550
common compact/breadth FineWeb source anchors,2,no_domain_metadata,7792,158295
common compact/breadth FineWeb source anchors,3,geography,2795,63797
common compact/breadth FineWeb source anchors,4,quant,2038,50620
common compact/breadth FineWeb source anchors,5,history_society,1921,47143
common compact/breadth FineWeb source anchors,6,science,1288,31840
compact arm changed companion: Qwen3.5 compact rewrites,1,no_domain,8562,118452
compact arm changed companion: Qwen3.5 compact rewrites,2,no_domain_metadata,7792,99386
compact arm changed companion: Qwen3.5 compact rewrites,3,geography,2795,42759
compact arm changed companion: Qwen3.5 compact rewrites,4,quant,2038,33050
compact arm changed companion: Qwen3.5 compact rewrites,5,history_society,1921,31060
compact arm changed companion: Qwen3.5 compact rewrites,6,science,1288,20635
breadth arm changed companion: independent FineWeb whole sentences,1,no_domain,5711,145387
breadth arm changed companion: independent FineWeb whole sentences,2,science_physical,1131,33058
breadth arm changed companion: independent FineWeb whole sentences,3,quant,1116,30095
breadth arm changed companion: independent FineWeb whole sentences,4,geography,895,23857
breadth arm changed companion: independent FineWeb whole sentences,5,history_society,889,24910
breadth arm changed companion: independent FineWeb whole sentences,6,science,821,23246
breadth arm changed companion: independent FineWeb whole sentences,7,quant_numeric,811,23399
breadth arm changed companion: independent FineWeb whole sentences,8,institutions_society,730,21230
breadth arm changed companion: independent FineWeb whole sentences,9,causal_relational,679,19774
breadth arm changed companion: independent FineWeb whole sentences,10,geography_places,462,13387
breadth arm changed companion: independent FineWeb whole sentences,11,media_culture,232,6701
breadth arm changed companion: independent FineWeb whole sentences,12,people_history,232,6671
