line_no,example_id,source,target_word,target_token_decoded,alternative_token_decoded,target_id,alternative_id,local_alt_rank,scale_local_margin_target_minus_alt,scale_full_margin_target_minus_alt,context_gain_full_minus_local,scale_full_target_rank,scale_local_target_rank,scale_full_alt_rank,is_scale_full_error_vs_alt,is_unsaturated_full_abs_margin_le_0p5,is_context_decides_local_alt_full_gold,snippet,base_full_margin_target_minus_alt,scale_minus_base_full_margin,base_full_target_rank,base_full_alt_rank,is_scale_weaker_than_base_by_0p5
597,950596,cleanqwen_fineweb_compact_view_reinvest,Note,note,states,16000,4372,1,-2.866147518157959,-3.1356005668640137,-0.2694530487060547,525,44,30,True,False,False,Note that we are comparing the academic results of homeschooling as a method of education with the academic results of virtual charter schools as a method of education. We compare homeschooling academic results with virtual charter school academic results. Volcanoes of this kind are found along rift valleys where the continental plates gradually break apart and new oceans are formed. These volcanoes form in rift valleys where plates break apart to create new oceans. 18% of all abortions are perf,-0.326200008392334,-2.8094005584716797,42,27,True
1640,951639,cleanqwen_fineweb_compact_view_reinvest,Even,even,because,2997,684,8,1.065948486328125,3.950161933898926,2.884213447570801,2,2,6,False,False,False,"Even if the map is authentic, it is still only a copy-drawn in 1763, and supposedly based on an older map which no one has ever seen. Even if authentic, the 1763 copy-drawn map is based on an unseen older map. Legend has it that this particular fort is on top of a Roman settlement site. Legend says this fort sits atop a Roman settlement site. One of the most effective measures is also the simplest and the oldest: Much misery can be prevented simply by engaging in regular and vigorous hand washin",6.71010160446167,-2.759939670562744,2,75,True
9835,37812,gutenberg,happy,happy,otted,7543,5928,1,-10.868223190307617,-5.790499031543732,5.0777241587638855,3336,6057,42,True,False,False,"no other offering could so fitly express her love and pity. The same impulse visited all the other girls in their turn. It was not enough to sympathise in words, it seemed absolutely necessary to _do_ something; and before half an hour was over, every girl was rummaging through the contents of a newly-tidied desk, in search of some tribute which she might send to Mildred in her distress. Such a curious collection of presents as it was! Pencil boxes (more or less damaged); blotted blotters; ""happ",-3.188812255859375,-2.6016867756843567,3294,536,True
11623,16392,childes,whispers,whispers,looks,6725,6816,1,-2.2330875396728516,-3.4749441146850586,-1.241856575012207,22,20,1,True,False,False,she asks him] *MOT: see? *MOT: so you did something other that just have an Easter egg hunt. *CHI: I know. *CHI: and I got an Easter egg at my school. *MOT: and what did you do when you came back here? *CHI: a xxx outfit and my shoes xxx? *MOT: no! *MOT: no that's what you brought back. *MOT: what did I get you? *CHI: another Easter basket for me? *MOT: yeah and what else? *CHI: and ah um... *MOT: what did I buy for you? *CHI: orange tonic. *MOT: no. *MOT: no that's not what I mean. [laughing] *,-1.125075340270996,-2.3498687744140625,4,2,True
4024,12595,childes,finish,finish,one,2873,345,2,-8.078442096710205,-4.928615570068359,3.1498265266418457,329,662,3,True,False,False,finish that you only have that. *SIS: I can't. *CHI: mommy I drawed lots of rows on the rainbow. *SIS: you told... *MOT: xxx me not to look at you. *SIS: well you give me this look! *SIS: tell him to stop hitting me! *MOT: that's enough. *MOT: keep your hands to yourself! *MOT: Sis eat the rest of your xxx. *BRO: pow! *MOT: Sis do you wanna do dishes or laundry? *SIS: stop it! *CHI: she wants to go um laundry. *MOT: finish that macaroni salad. *SIS: would you tell him to leave me alone? %int: lo,-3.1143245697021484,-1.814291000366211,288,18,True
11772,40115,open_subtitles,Take,take,left,3567,1073,18,-3.3042259216308594,-2.3935751914978027,0.9106507301330566,113,183,17,True,False,False,"Take the class If you came back for the money it's no longer an offer - I can not beat you in a fight. - Then leave the school. But I can beat you at this SHAOLIN PATTERNS Southern Style Techniques and Patterns You're going to learn that in a week? And if you lose? I will leave Do you know who that is? He came second in five national championships doing that exact routine He came second - to me Save yourself a lot of wasted energy and leave now, or You can embarrass yourself in front of everybod",-0.7880189418792725,-1.6055562496185303,74,31,True
6855,303959,qwen_pair_packed,Well,well,though,845,1172,7,0.059950828552246094,5.502145767211914,5.442194938659668,2,6,51,False,False,False,"Well, if they really tried to do it again and they failed, there's not much else that we could ask them to do is there? Well, if they genuinely attempted to do it again and failed, there isn't much else we could ask them to do, is there? The creek narrowed down to no more than a couple of fathoms across, and seemed to terminate in dense foliage. The creek narrowed to no more than a couple of fathoms across and appeared to end in dense foliage. Six till seven this evening the youth and junior gro",7.009418964385986,-1.5072731971740723,1,89,True
10729,35484,gutenberg,Give,give,let,14671,7023,3,1.7205686569213867,2.2120561599731445,0.4914875030517578,1,1,2,False,False,False,"with I expect."" ""Oh, bother Opal! She's not the only girl in the school."" ""No, but she thinks she is."" ""Give her a decent part and she'll like it as much as anybody."" ""She's not going to be top-dog all along the line, though."" ""Well, we can't leave her out of it. I suppose she'll have her turn just the same as other people, and we'll leave it at that."" Next day, therefore, the Ramsays went to school bristling with ideas, and, calling a mass meeting in the playroom, made their proposals. The girl",3.615650177001953,-1.4035940170288086,1,7,True
11474,17636,childes,laughs,laughs,giggles,743,4917,2,5.263389587402344,4.215351104736328,-1.0480384826660156,1,1,3,False,False,False,*MOT: he's coming out. *MOT: he's goin' into that one now. *MOT: on. *CHI: on. *MOT: Tuesday. *CHI: Tuesday he... *MOT: ate. *CHI: ate through two. *MOT: two. *MOT: [coughs]. *MOT: pears. *CHI: pears. *CHI: but he was still hungry. *MOT: hungry. *CHI: there he goes again. *MOT: www [coughs] xxx. *CHI: on. *MOT: mhm. *CHI: on Wednesday he ate through. *CHI: what's these? [points to the plums] *MOT: plums. *CHI: ate through three... *MOT: plums. *CHI: but he was still hungry. *MOT: mhm. *CHI: must,5.439523696899414,-1.224172592163086,1,6,True
3577,9793,childes,laughs,laughs,vocalization,743,14435,2,2.382145881652832,2.2860679626464844,-0.09607791900634766,1,1,2,False,False,False,video camera] *MOT: first they got this great big magnet piece right here. *MOT: unhunh [? wait a minute]. *MOT: whoa! *MOT: [laughs]. *MOT: lots o' pull. *INV: there you go. *MOT: why don't we just kinda like throw it and see how many we can... *INV: you can keep it close to you if you want. *INV: closer and... *INV: there you go. *MOT: yeah maybe we can throw up in the... *MOT: right away like... *MOT: whoa! *CHI: like that? *CHI: look. *MOT: look at that! [drops paper clip onto center of silv,3.4393272399902344,-1.15325927734375,1,3,True
7302,13366,childes,laughs,laughs,noises,743,9612,3,1.8087787628173828,2.365842819213867,0.5570640563964844,1,1,2,False,False,False,right there. *CHI: and these are layin' down. *CHI: and these are xxx down like that! *CHI: and these two are up here. *MOT: hey look at this. *CHI: xxx these two like this. *CHI: these are sposta be like xxx. *MOT: oh look at that. *MOT: he gotta stand up. *CHI: and this one xxx... *CHI: maybe Bro can play with me [? it]. *CHI: I don't know how to get xxx like this. *MOT: why not? *MOT: ah there you go. *MOT: 'cause of the rug. *MOT: did you see this Chi? [shortened name] *CHI: yeah. *MOT: and ,3.3209657669067383,-0.9551229476928711,1,8,True
5216,56795,simple_wiki,also,also,sometimes,9711,2151,2,4.0936431884765625,7.732784271240234,3.639141082763672,1,1,58,False,False,False,"office on April 8, 2008. She represented parts of San Francisco and San Mateo counties. Speier was shot five times in 1978 while she worked with Leo Ryan during the Jonestown Massacre. Ryan was killed. Speier ran in the Democratic primary for the Lieutenant Governor of California against the insurance commissioner John Garamendi. Garamendi won the race, getting 42.5% of the vote. Speier got 39.7% of the vote. Speier supports abortion, same sex marriage and LGBT rights. She is a member of the Uni",8.390196323394775,-0.657412052154541,1,76,True
