endpoint,split,example_id,row_index,correct,gold,prediction,prompt,solution0,solution1,group,label,prediction_path
coherent86,parallel,parallel_ex000000_eng_latn,0,0,The amount of air in the bag stays the same, The amount of air in the bag increases,"A plastic bag is filled with air and then sealed. When an object is placed on the bag, what happens?",The amount of air in the bag decreases,The amount of air in the bag increases,parent,3,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000001_eng_latn,1,0,The water splashes off the cup, The water goes into the cup,"A cup is placed with the opening on the table. When I pour water over the cup, what happens to the water?",The water does not touch the cup,The water goes into the cup,parent,2,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000002_eng_latn,2,0,The ball bounces off the window, The ball sticks to the window,A child throws a paper ball at a glass window. What happens to the ball?,The ball bounces off the window,The ball sticks to the window,parent,0,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000003_eng_latn,3,0,The ball breaks the window, The ball sticks to the window,A child throws a metal ball at a glass window. What happens to the ball?,The ball breaks into pieces,The ball sticks to the window,parent,3,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000004_eng_latn,4,1,You see the light from the lightbulb through the glass, You see the light from the lightbulb through the glass,"There is a lightbulb in front of you. Between you and the lightbulb, there is a sheet of glass. When you turn the lightbulb on, what happens?",You see the light from the lightbulb through the glass,The lightbulb does not emit any light,parent,0,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000005_eng_latn,5,1,The center of the fabric gets closer to the ground, The center of the fabric gets closer to the ground,"You hold a square of cotton fabric in your hands so that it is taut and parallel with the ground. When you move your hands closer to each other, what happens to the fabric?",The edges of the fabric get further from the ground,The center of the fabric gets closer to the ground,parent,1,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000008_eng_latn,6,0,September, January,"If a building undergoes maintenance every eight months and the last maintenance was in January, which month will the next maintenance be?",September,October,parent,0,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000009_eng_latn,7,0,Saturday, Wednesday,Today is Wednesday. You want to meet your friend in three days. Which day do you want to meet your friend?,Sunday,Friday,parent,2,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000010_eng_latn,8,0,1936, 1940,"A species of cicada emerges every 22 years. If they last emerged in 1914, when will they next emerge?",1940,1934,parent,3,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
coherent86,parallel,parallel_ex000011_eng_latn,9,0,1983, 1984,The year is 2026. George is 43 years old. What year is George most likely born?,1985,1984,parent,2,experiments/archive/frontier_consolidation/data/private_scale_sentinel_eval/coherent86_private_scale_0p75/official_outputs/coherent86_private_scale_0p75/GlobalPIQA_parallel/final/full_coherent86_private_scale_0p75_GlobalPIQA_parallel/zero_shot/mlm/global_piqa_parallel/global_piqa_parallel/predictions.json
