endpoint,split,example_id,row_index,delta_correct_vs_coherent86,coherent86_correct,endpoint_correct,gold,prediction,coherent86_prediction,prompt,solution0,solution1,group
clean64,nonparallel,group0123_ex000032_eng_latn_0_v1,55,1,0,1,Place the clay sticks onto a baking sheet and bake at 350°F for one minute., Place the clay sticks onto a baking sheet and bake at 350°F for one minute., Place the clay sticks onto a baking sheet and bake at 350°F for twenty minutes.,How do you bake small polymer clay sticks to make clay sprinkles?,Place the clay sticks onto a baking sheet and bake at 350°F for one minute.,Place the clay sticks onto a baking sheet and bake at 350°F for twenty minutes.,clean
clean65,nonparallel,group0123_ex000032_eng_latn_0_v1,55,1,0,1,Place the clay sticks onto a baking sheet and bake at 350°F for one minute., Place the clay sticks onto a baking sheet and bake at 350°F for one minute., Place the clay sticks onto a baking sheet and bake at 350°F for twenty minutes.,How do you bake small polymer clay sticks to make clay sprinkles?,Place the clay sticks onto a baking sheet and bake at 350°F for one minute.,Place the clay sticks onto a baking sheet and bake at 350°F for twenty minutes.,clean
ms64,nonparallel,group0123_ex000032_eng_latn_0_v1,55,1,0,1,Place the clay sticks onto a baking sheet and bake at 350°F for one minute., Place the clay sticks onto a baking sheet and bake at 350°F for one minute., Place the clay sticks onto a baking sheet and bake at 350°F for twenty minutes.,How do you bake small polymer clay sticks to make clay sprinkles?,Place the clay sticks onto a baking sheet and bake at 350°F for one minute.,Place the clay sticks onto a baking sheet and bake at 350°F for twenty minutes.,ms
ms65,nonparallel,group0123_ex000032_eng_latn_0_v1,55,1,0,1,Place the clay sticks onto a baking sheet and bake at 350°F for one minute., Place the clay sticks onto a baking sheet and bake at 350°F for one minute., Place the clay sticks onto a baking sheet and bake at 350°F for twenty minutes.,How do you bake small polymer clay sticks to make clay sprinkles?,Place the clay sticks onto a baking sheet and bake at 350°F for one minute.,Place the clay sticks onto a baking sheet and bake at 350°F for twenty minutes.,ms
clean64,nonparallel,group0123_ex000084_eng_latn_0_v1,57,1,0,1,Place a dry towel on the counter first., Place a dry towel on the counter first., Place a wet towel on the counter first.,How do I protect the counter from the heat of the iron ?,Place a wet towel on the counter first.,Place a dry towel on the counter first.,clean
clean65,nonparallel,group0123_ex000084_eng_latn_0_v1,57,1,0,1,Place a dry towel on the counter first., Place a dry towel on the counter first., Place a wet towel on the counter first.,How do I protect the counter from the heat of the iron ?,Place a wet towel on the counter first.,Place a dry towel on the counter first.,clean
ms64,nonparallel,group0123_ex000084_eng_latn_0_v1,57,1,0,1,Place a dry towel on the counter first., Place a dry towel on the counter first., Place a wet towel on the counter first.,How do I protect the counter from the heat of the iron ?,Place a wet towel on the counter first.,Place a dry towel on the counter first.,ms
ms65,nonparallel,group0123_ex000084_eng_latn_0_v1,57,1,0,1,Place a dry towel on the counter first., Place a dry towel on the counter first., Place a wet towel on the counter first.,How do I protect the counter from the heat of the iron ?,Place a wet towel on the counter first.,Place a dry towel on the counter first.,ms
clean64,parallel,parallel_ex000000_eng_latn,0,1,0,1,The amount of air in the bag stays the same, The amount of air in the bag stays the same, The amount of air in the bag increases,"A plastic bag is filled with air and then sealed. When an object is placed on the bag, what happens?",The amount of air in the bag decreases,The amount of air in the bag increases,clean
clean65,parallel,parallel_ex000000_eng_latn,0,1,0,1,The amount of air in the bag stays the same, The amount of air in the bag stays the same, The amount of air in the bag increases,"A plastic bag is filled with air and then sealed. When an object is placed on the bag, what happens?",The amount of air in the bag decreases,The amount of air in the bag increases,clean
ms64,parallel,parallel_ex000000_eng_latn,0,1,0,1,The amount of air in the bag stays the same, The amount of air in the bag stays the same, The amount of air in the bag increases,"A plastic bag is filled with air and then sealed. When an object is placed on the bag, what happens?",The amount of air in the bag decreases,The amount of air in the bag increases,ms
ms65,parallel,parallel_ex000000_eng_latn,0,1,0,1,The amount of air in the bag stays the same, The amount of air in the bag stays the same, The amount of air in the bag increases,"A plastic bag is filled with air and then sealed. When an object is placed on the bag, what happens?",The amount of air in the bag decreases,The amount of air in the bag increases,ms
ordinary64,parallel,parallel_ex000000_eng_latn,0,1,0,1,The amount of air in the bag stays the same, The amount of air in the bag stays the same, The amount of air in the bag increases,"A plastic bag is filled with air and then sealed. When an object is placed on the bag, what happens?",The amount of air in the bag decreases,The amount of air in the bag increases,ordinary
ordinary65,parallel,parallel_ex000000_eng_latn,0,1,0,1,The amount of air in the bag stays the same, The amount of air in the bag stays the same, The amount of air in the bag increases,"A plastic bag is filled with air and then sealed. When an object is placed on the bag, what happens?",The amount of air in the bag decreases,The amount of air in the bag increases,ordinary
clean64,parallel,parallel_ex000071_eng_latn,65,1,0,1,The wick should be longer than the height of the candle wax, The wick should be longer than the height of the candle wax, The wick should be shorter than the height of the candle wax,"How long is the wick of a candle, compared to the height of the candle wax?",The wick should be the same length as the height of the candle wax,The wick should be shorter than the height of the candle wax,clean
clean65,parallel,parallel_ex000071_eng_latn,65,1,0,1,The wick should be longer than the height of the candle wax, The wick should be longer than the height of the candle wax, The wick should be shorter than the height of the candle wax,"How long is the wick of a candle, compared to the height of the candle wax?",The wick should be the same length as the height of the candle wax,The wick should be shorter than the height of the candle wax,clean
ms64,parallel,parallel_ex000071_eng_latn,65,1,0,1,The wick should be longer than the height of the candle wax, The wick should be longer than the height of the candle wax, The wick should be shorter than the height of the candle wax,"How long is the wick of a candle, compared to the height of the candle wax?",The wick should be the same length as the height of the candle wax,The wick should be shorter than the height of the candle wax,ms
ms65,parallel,parallel_ex000071_eng_latn,65,1,0,1,The wick should be longer than the height of the candle wax, The wick should be longer than the height of the candle wax, The wick should be shorter than the height of the candle wax,"How long is the wick of a candle, compared to the height of the candle wax?",The wick should be the same length as the height of the candle wax,The wick should be shorter than the height of the candle wax,ms
ordinary64,parallel,parallel_ex000071_eng_latn,65,1,0,1,The wick should be longer than the height of the candle wax, The wick should be longer than the height of the candle wax, The wick should be shorter than the height of the candle wax,"How long is the wick of a candle, compared to the height of the candle wax?",The wick should be the same length as the height of the candle wax,The wick should be shorter than the height of the candle wax,ordinary
ordinary65,parallel,parallel_ex000071_eng_latn,65,1,0,1,The wick should be longer than the height of the candle wax, The wick should be longer than the height of the candle wax, The wick should be shorter than the height of the candle wax,"How long is the wick of a candle, compared to the height of the candle wax?",The wick should be the same length as the height of the candle wax,The wick should be shorter than the height of the candle wax,ordinary
clean64,parallel,parallel_ex000094_eng_latn,88,-1,1,0,Drying the laundry, Folding the laundry, Drying the laundry,You put some cookies in the oven before doing some housework. What housework would not be possible to finish before the cookies need to be taken out of the oven?,Drying the laundry,Folding the laundry,clean
clean65,parallel,parallel_ex000094_eng_latn,88,-1,1,0,Drying the laundry, Folding the laundry, Drying the laundry,You put some cookies in the oven before doing some housework. What housework would not be possible to finish before the cookies need to be taken out of the oven?,Drying the laundry,Folding the laundry,clean
ms64,parallel,parallel_ex000094_eng_latn,88,-1,1,0,Drying the laundry, Folding the laundry, Drying the laundry,You put some cookies in the oven before doing some housework. What housework would not be possible to finish before the cookies need to be taken out of the oven?,Drying the laundry,Folding the laundry,ms
ms65,parallel,parallel_ex000094_eng_latn,88,-1,1,0,Drying the laundry, Folding the laundry, Drying the laundry,You put some cookies in the oven before doing some housework. What housework would not be possible to finish before the cookies need to be taken out of the oven?,Drying the laundry,Folding the laundry,ms
