global_step,epoch,stage_length,n_chunks,charged_words,active_tokens,masked_tokens,microbatches,cumulative_words
1,0,256,302,42118,54397,8025,5,42118
2,0,256,302,42401,54633,8368,5,84519
3,0,256,302,41924,54070,8174,5,126443
4,0,256,302,42473,54386,8133,5,168916
5,0,256,302,42356,54586,8134,5,211272
6,0,256,302,42912,55965,8353,5,254184
7,0,256,302,42950,55607,8324,5,297134
8,0,256,302,42585,55122,8208,5,339719
9,0,256,302,42750,55218,8077,5,382469
10,0,256,302,42574,55012,8263,5,425043
11,0,256,302,40430,56068,8428,5,465473
12,0,256,301,39767,55769,8250,5,505240
13,0,256,301,40206,56229,8439,5,545446
14,0,256,301,40495,56447,8536,5,585941
15,0,256,301,39782,55557,8340,5,625723
16,0,256,301,38517,54104,8230,5,664240
17,0,256,301,39181,54516,8155,5,703421
18,0,256,301,39489,55269,8381,5,742910
19,0,256,301,39369,55177,8273,5,782279
20,0,256,301,39051,54999,8054,5,821330
21,0,256,301,39971,55711,8295,5,861301
22,0,256,301,40650,55883,8353,5,901951
23,0,256,301,38143,53969,8214,5,940094
24,0,256,301,41108,56338,8333,5,981202
25,0,256,301,38766,55249,8210,5,1019968
26,0,256,301,39043,54965,8247,5,1059011
27,0,256,301,39239,54898,7969,5,1098250
28,0,256,301,38742,54783,7998,5,1136992
29,0,256,301,39681,55176,8195,5,1176673
30,0,256,301,40392,55803,8513,5,1217065
31,0,256,301,38033,53967,8247,5,1255098
32,0,256,301,40819,56368,8172,5,1295917
33,0,256,301,39214,55240,8122,5,1335131
34,0,256,301,38488,53849,8009,5,1373619
35,0,256,301,40653,56170,8536,5,1414272
36,0,256,301,40222,55919,8557,5,1454494
37,0,256,301,41258,56509,8502,5,1495752
38,0,256,301,36733,52372,7919,5,1532485
39,0,256,301,39966,55503,8100,5,1572451
40,0,256,301,39502,55462,8525,5,1611953
41,0,256,301,40656,56940,8330,5,1652609
42,0,256,301,39009,55168,8361,5,1691618
43,0,256,301,38322,54276,8198,5,1729940
44,0,256,301,38980,54144,8129,5,1768920
45,0,256,301,40049,55688,8344,5,1808969
46,0,256,301,38775,54685,8161,5,1847744
47,0,256,301,38290,54983,8311,5,1886034
48,0,256,301,38821,54451,8013,5,1924855
49,0,256,301,40719,56880,8605,5,1965574
50,0,256,301,37980,54071,7892,5,2003554
51,0,256,301,40015,55799,8337,5,2043569
52,0,256,301,41673,57036,8843,5,2085242
53,0,256,301,39461,54829,8234,5,2124703
54,0,256,301,38530,54658,8259,5,2163233
55,0,256,301,39019,54555,8421,5,2202252
56,0,256,301,39073,55032,8330,5,2241325
57,0,256,301,40157,56359,8487,5,2281482
58,0,256,301,38833,53676,7989,5,2320315
59,0,256,301,40167,56327,8400,5,2360482
