probe_arm,line_index,words,words_field,word_field_matches_actual,source_label,source_kind,origin_source,selected_route_bucket,required_capability,length_bin,text_sha256,in_compact,in_rowblock_breadth,in_interleaved_breadth,compact_row_source,rowblock_row_source,interleaved_row_source
transition,0,42,41,False,fw_frozen_sources_38167,fineweb_candidate_source_reservoir,v3_stable,physical_material_transition,physical_anchor,36_50,fbc40d95b995b7a7faea5e06ad5b798f4f7738d91a9d2f6716f9ebaf5f4311e9,False,False,False,,,
transition,1,48,48,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,gutenberg,physical_material_transition,physical_anchor,36_50,fbe2adb837cad8d497624edbe5eae93dae25827c0307ffe8b8bf8b66021869f5,True,True,True,gutenberg,gutenberg,gutenberg
transition,2,35,35,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,open_subtitles,physical_material_transition,physical_anchor,26_35,8ac181ee41aa265dabde737afd399b0a3532e1b251fe762c52c515ace4875cfb,True,True,True,open_subtitles,open_subtitles,open_subtitles
transition,3,57,57,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,gutenberg,physical_material_transition,physical_anchor,51_70,dfdfedab979139acdd62493d1ab3d90e2d4208a8a37eb90cf1017eb6a32239bc,True,True,True,gutenberg,gutenberg,gutenberg
transition,4,62,62,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,gutenberg,physical_material_transition,physical_anchor,51_70,f06546b6dbdb3dab05ace26d40c2ba87a08137829eb4b553a8da45030cc3a538,True,True,True,gutenberg,gutenberg,gutenberg
transition,5,61,61,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,gutenberg,physical_material_transition,physical_anchor,51_70,789ccc7f260be5526b1c05b74246db926bc1bd14b6e899433d2ce5bb04eb7ee4,True,True,True,gutenberg,gutenberg,gutenberg
transition,6,70,70,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,gutenberg,physical_material_transition,physical_anchor,51_70,6e88b150e7502ddbb7b3753606084fc25a41c4e9b3af68eb742c0b251e51bae0,True,True,True,gutenberg,gutenberg,gutenberg
transition,7,63,63,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,open_subtitles,physical_material_transition,physical_anchor,51_70,ab2609a597a9faf271fa5b2d99b4d0ad7fa2dd7e9996c6e8e2fe3ba1c21e6ccf,True,True,True,open_subtitles,open_subtitles,open_subtitles
transition,8,60,60,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,qwen_pair_packed,physical_material_transition,physical_anchor,51_70,9d4d1447585427384b0182834c1b7603749dfd6ff1ec171f0061637373b2a84a,True,True,True,qwen_pair_packed,qwen_pair_packed,qwen_pair_packed
transition,9,36,36,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,bnc_spoken,physical_material_transition,physical_anchor,36_50,581ebafa5ae35802d31de42e6a9e89353582a24af16197285ef2244cf369dd1f,True,True,True,bnc_spoken,bnc_spoken,bnc_spoken
transition,10,56,56,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,simple_wiki,physical_material_transition,physical_anchor,51_70,4b92a2f9dc5a8926a1c7a871ad48bba2db4709928e8344b9946c9634c829e66f,True,True,True,simple_wiki,simple_wiki,simple_wiki
transition,11,45,45,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,gutenberg,physical_material_transition,physical_anchor,36_50,0c3e589746fd2e363c6113f329caed7ea6a9065c4c882bd5f5d258d6399c68b3,True,True,True,gutenberg,gutenberg,gutenberg
transition,12,38,38,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,gutenberg,physical_material_transition,physical_anchor,36_50,3cf10fa1dee8011f652d41edde114f06a7bdac2b863d00075dc02ece9d0a01ce,True,True,True,gutenberg,gutenberg,gutenberg
transition,13,53,53,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,gutenberg,physical_material_transition,physical_anchor,51_70,35a104da55d406f163609824cbd8797160f9f4b732a5e7a8b81a501d629af3de,True,True,True,gutenberg,gutenberg,gutenberg
transition,14,66,66,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,gutenberg,physical_material_transition,physical_anchor,51_70,93c9a4acf69fad466f132b4a95cf0ccd32b92cdb795165bd8a4f205a749b10a8,True,True,True,gutenberg,gutenberg,gutenberg
transition,15,28,28,True,fw_frozen_sources_38167,fineweb_candidate_source_reservoir,a02_compact_reinvest,physical_material_transition,physical_anchor,26_35,63cbce9c2e36b920a341424de24704f5514b981ba7d7357d0ed865a39207f5ab,False,False,False,,,
transition,16,47,47,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,gutenberg,physical_material_transition,physical_anchor,36_50,ebfa134603b5231a83f1bea2faf6529f82d6b3d342d32fde5c3376172e7046a6,True,True,True,gutenberg,gutenberg,gutenberg
transition,17,69,69,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,gutenberg,physical_material_transition,physical_anchor,51_70,e1355eca28a501a865016387a543eaa688bf3be72c6c71ff158d2e5b9bf5dc87,True,True,True,gutenberg,gutenberg,gutenberg
transition,18,49,49,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,open_subtitles,physical_material_transition,physical_anchor,36_50,996593e31baeb7fe44bc73bc28046e381090016626cf7519abe471997818eac8,True,True,True,open_subtitles,open_subtitles,open_subtitles
transition,19,50,50,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,qwen_pair_packed,physical_material_transition,physical_anchor,36_50,e2692deebc57f7fab7337904a361e51c091b5b84c1ef209ddf05923e425e2901,True,True,True,qwen_pair_packed,qwen_pair_packed,qwen_pair_packed
transition,20,39,39,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,gutenberg,physical_material_transition,physical_anchor,36_50,b31430be88623ff0a7de42a14d86924f3f37701f332bd2e8ea7af56b2497a2ea,True,True,True,gutenberg,gutenberg,gutenberg
transition,21,41,41,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,simple_wiki,physical_material_transition,physical_anchor,36_50,fc9705ab1ec414a628ee2b6508eac45b755711ac36a3a62d2d2027e3dac8e022,True,True,True,simple_wiki,simple_wiki,simple_wiki
transition,22,28,28,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,childes,physical_material_transition,physical_anchor,26_35,e6868e8afc730b95c1de49f95086d910e55aac2abdbcf8e3fb092d82e1e54da1,True,True,True,childes,childes,childes
transition,23,33,33,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,gutenberg,physical_material_transition,physical_anchor,26_35,f1dd6f94a5c2508067ec2e530021f1a496a1981a7c9423aa5c977b8db4b595a4,True,True,True,gutenberg,gutenberg,gutenberg
transition,24,42,42,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,qwen_pair_packed,physical_material_transition,physical_anchor,36_50,e355f465df0f9973204327569c62c962bb5a22c7c8352c3b47962d89f265ddec,True,True,True,open_subtitles,open_subtitles,open_subtitles
transition,25,44,44,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,gutenberg,physical_material_transition,physical_anchor,36_50,eadd57670a12fa6a94ba0e11b0f1406bb050ab812a57d69b7a94d8fcaf3b3ade,True,True,True,gutenberg,gutenberg,gutenberg
transition,26,46,46,True,fw_frozen_sources_38167,fineweb_candidate_source_reservoir,a02_compact_reinvest,physical_material_transition,physical_anchor,36_50,9086ab23a1a2d25245bb6edaa06963ae9432ecac9c4e23d4914c751371b05c5b,False,True,True,,fw_preserved_source_breadth_wholesentence,fw_preserved_source_breadth_interleaved_wholesentence
transition,27,43,43,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,qwen_pair_packed,physical_material_transition,physical_anchor,36_50,21a6549b596d5fafafd641347146c87521b9cbdb9bd3f58a267ffe19056e66ca,True,True,True,gutenberg,gutenberg,gutenberg
transition,28,36,36,True,fw_frozen_sources_38167,fineweb_candidate_source_reservoir,v3_stable,physical_material_transition,physical_anchor,36_50,dfc9b88dc59e5eacd34eda9cc895bbe24edc001a10341a38394202460bf8138a,False,False,False,,,
transition,29,30,30,True,fw_frozen_sources_38167,fineweb_candidate_source_reservoir,v3_stable,physical_material_transition,physical_anchor,26_35,9c1de8148cc36caacdd43cfa5d5f8caf5b85d7f5ea74ac4d387a524bc87380f9,True,True,True,fw_preserved_compact_view,fw_preserved_source_breadth_wholesentence,fw_preserved_source_breadth_interleaved_wholesentence
transition,30,22,22,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,childes,physical_material_transition,physical_anchor,16_25,ff53923caf32185b117daff94b4accc86435e5fbeff937a3ec9f2f1560fd8b08,True,True,True,childes,childes,childes
transition,31,34,34,True,fw_frozen_sources_38167,fineweb_candidate_source_reservoir,v3_stable,physical_material_transition,physical_anchor,26_35,81990fcbd449a98d2792b7d20ef7372662b996c0396f5bc99ab86beaa9d9e713,False,False,False,,,
transition,32,37,37,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,qwen_pair_packed,physical_material_transition,physical_anchor,36_50,01405e3d5bf1bbf585956d8fe6836cb11fcd8a27180d564e180bd7c76f299d0f,False,False,False,,,
transition,33,63,63,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,gutenberg,physical_material_transition,physical_anchor,51_70,e0534c3cecbc6b7ab2fdab2f56b116288735bb2dfc6c9eea7dc319e3b4b976c0,True,True,True,gutenberg,gutenberg,gutenberg
transition,34,62,62,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,gutenberg,physical_material_transition,physical_anchor,51_70,28f20234d687ec34aa42963eafe9487e4c4d4305a65d88e944a5dfafa4ff5547,True,True,True,gutenberg,gutenberg,gutenberg
transition,35,37,37,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,qwen_pair_packed,physical_material_transition,physical_anchor,36_50,23274999fd339bc28c0204a3b9d55fcf8828f51c227e828f39c2d4e0887fb5b7,True,True,True,gutenberg,gutenberg,gutenberg
transition,36,56,56,True,compact_experience_aligned_10m_rows,current_lineage_10M_pool,gutenberg,physical_material_transition,physical_anchor,51_70,c69bd1ea87b78ce9cd5a46abed1bbfe92e4997c669a77df68b0f809e219e1421,True,True,True,gutenberg,gutenberg,gutenberg
