pair_id,overlap_bin,target_key,target_word,token_class,token_id_occurs_in_source,surface_word_class
wikilarge_00e870d0480c25e3f6c8,high,wikilarge_00e870d0480c25e3f6c8:0,january,overlap,True,overlap
wikilarge_00e870d0480c25e3f6c8,high,wikilarge_00e870d0480c25e3f6c8:3,said,nonoverlap,False,nonoverlap
wikilarge_00e870d0480c25e3f6c8,high,wikilarge_00e870d0480c25e3f6c8:11,kept,nonoverlap,False,nonoverlap
wikilarge_00ed2371f449705b6f23,low,wikilarge_00ed2371f449705b6f23:3,important,nonoverlap,False,nonoverlap
wikilarge_00ed2371f449705b6f23,low,wikilarge_00ed2371f449705b6f23:4,part,nonoverlap,False,nonoverlap
wikilarge_00ed2371f449705b6f23,low,wikilarge_00ed2371f449705b6f23:5,medicine,overlap,True,overlap
wikilarge_00fb0e77f0f8f7a6a420,low,wikilarge_00fb0e77f0f8f7a6a420:1,idea,nonoverlap,False,nonoverlap
wikilarge_00fb0e77f0f8f7a6a420,low,wikilarge_00fb0e77f0f8f7a6a420:5,said,nonoverlap,False,nonoverlap
wikilarge_00fb0e77f0f8f7a6a420,low,wikilarge_00fb0e77f0f8f7a6a420:10,market,overlap,True,overlap
wikilarge_010317a91bf8561d95c3,low,wikilarge_010317a91bf8561d95c3:0,fight,nonoverlap,False,nonoverlap
wikilarge_010317a91bf8561d95c3,low,wikilarge_010317a91bf8561d95c3:1,soft,nonoverlap,False,nonoverlap
wikilarge_010317a91bf8561d95c3,low,wikilarge_010317a91bf8561d95c3:6,rubber,overlap,True,overlap
wikilarge_01041aaee4684cb5061c,low,wikilarge_01041aaee4684cb5061c:1,found,nonoverlap,False,nonoverlap
wikilarge_01041aaee4684cb5061c,low,wikilarge_01041aaee4684cb5061c:4,green,overlap,True,overlap
wikilarge_01041aaee4684cb5061c,low,wikilarge_01041aaee4684cb5061c:5,line,nonoverlap,False,nonoverlap
wikilarge_013b198c2bf6ca68542a,high,wikilarge_013b198c2bf6ca68542a:3,deal,nonoverlap,False,nonoverlap
wikilarge_013b198c2bf6ca68542a,high,wikilarge_013b198c2bf6ca68542a:7,including,nonoverlap,False,nonoverlap
wikilarge_013b198c2bf6ca68542a,high,wikilarge_013b198c2bf6ca68542a:13,road,overlap,True,overlap
wikilarge_017089608da0d2887c82,medium,wikilarge_017089608da0d2887c82:0,discovered,nonoverlap,False,nonoverlap
wikilarge_017089608da0d2887c82,medium,wikilarge_017089608da0d2887c82:1,sea,overlap,True,overlap
wikilarge_017089608da0d2887c82,medium,wikilarge_017089608da0d2887c82:4,pictures,nonoverlap,False,nonoverlap
wikilarge_017e738f835259332345,medium,wikilarge_017e738f835259332345:1,people,nonoverlap,False,nonoverlap
wikilarge_017e738f835259332345,medium,wikilarge_017e738f835259332345:4,name,nonoverlap,False,nonoverlap
wikilarge_017e738f835259332345,medium,wikilarge_017e738f835259332345:5,simply,overlap,True,overlap
