domain,line_idx,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,PLL_0,PLL_1,margin,is_correct
agent-properties,0,believe,doubt,direct,antonym,concept swap,-9.842437,-9.459654,-0.382783,0
agent-properties,1,believe,doubt,direct,antonym,concept swap,-26.683077,-26.270887,-0.412189,0
agent-properties,2,believe,doubt,direct,antonym,concept swap,-9.971469,-11.247557,1.276088,1
agent-properties,3,believe,doubt,direct,antonym,concept swap,-21.398745,-19.263945,-2.1348,0
agent-properties,4,believe,doubt,direct,antonym,concept swap,-9.300687,-10.405457,1.10477,1
agent-properties,5,believe,doubt,direct,antonym,concept swap,-24.192804,-22.58094,-1.611864,0
agent-properties,6,believe,doubt,direct,antonym,concept swap,-9.280132,-9.981174,0.701042,1
agent-properties,7,believe,doubt,direct,antonym,concept swap,-25.552782,-24.005735,-1.547047,0
agent-properties,8,believe,doubt,direct,antonym,concept swap,-7.785143,-8.265831,0.480688,1
agent-properties,9,believe,doubt,direct,antonym,concept swap,-24.816782,-23.912897,-0.903885,0
agent-properties,10,believe,doubt,indirect,antonym,concept swap,-17.222145,-18.943016,1.720871,1
agent-properties,11,believe,doubt,indirect,antonym,concept swap,-31.880239,-30.237766,-1.642473,0
agent-properties,12,believe,doubt,indirect,antonym,concept swap,-21.676392,-24.013544,2.337152,1
agent-properties,13,believe,doubt,indirect,antonym,concept swap,-36.389828,-34.550262,-1.839565,0
agent-properties,14,believe,doubt,indirect,antonym,concept swap,-18.317169,-20.855389,2.538219,1
agent-properties,15,believe,doubt,indirect,antonym,concept swap,-34.104156,-30.827433,-3.276724,0
agent-properties,16,believe,doubt,indirect,antonym,concept swap,-19.324327,-19.167168,-0.15716,0
agent-properties,17,believe,doubt,indirect,antonym,concept swap,-31.477652,-29.722347,-1.755304,0
agent-properties,18,believe,doubt,indirect,antonym,concept swap,-21.187346,-22.898958,1.711613,1
agent-properties,19,believe,doubt,indirect,antonym,concept swap,-36.360569,-35.176807,-1.183762,0
agent-properties,20,believe,doubt,indirect,antonym,concept swap,-16.074512,-13.6086,-2.465913,0
agent-properties,21,believe,doubt,indirect,antonym,concept swap,-28.226162,-30.200531,1.974369,1
agent-properties,22,believe,doubt,indirect,antonym,concept swap,-14.736544,-16.508043,1.7715,1
agent-properties,23,believe,doubt,indirect,antonym,concept swap,-30.597969,-28.629862,-1.968107,0
agent-properties,24,believe,doubt,indirect,antonym,concept swap,-17.083252,-18.496008,1.412756,1
agent-properties,25,believe,doubt,indirect,antonym,concept swap,-26.07794,-25.015249,-1.062691,0
agent-properties,26,believe,doubt,indirect,antonym,concept swap,-13.719194,-15.994772,2.275578,1
agent-properties,27,believe,doubt,indirect,antonym,concept swap,-24.929205,-22.294847,-2.634357,0
agent-properties,28,believe,doubt,indirect,antonym,concept swap,-33.459984,-26.665493,-6.794491,0
agent-properties,29,believe,doubt,indirect,antonym,concept swap,-39.162987,-39.137207,-0.02578,0
agent-properties,30,believe,doubt,indirect,antonym,concept swap,-16.901552,-18.293093,1.391541,1
agent-properties,31,believe,doubt,indirect,antonym,concept swap,-27.358551,-26.401762,-0.956789,0
agent-properties,32,believe,doubt,indirect,antonym,concept swap,-14.02931,-12.709955,-1.319355,0
agent-properties,33,believe,doubt,indirect,antonym,concept swap,-22.796516,-23.588835,0.792318,1
agent-properties,34,believe,doubt,indirect,antonym,concept swap,-17.118237,-19.002193,1.883957,1
agent-properties,35,believe,doubt,indirect,antonym,concept swap,-28.408361,-26.994064,-1.414297,0
agent-properties,36,believe,doubt,indirect,antonym,concept swap,-19.333929,-20.974735,1.640806,1
agent-properties,37,believe,doubt,indirect,antonym,concept swap,-33.02272,-30.943409,-2.079311,0
agent-properties,38,believe,doubt,indirect,antonym,concept swap,-20.154543,-18.638401,-1.516142,0
agent-properties,39,believe,doubt,indirect,antonym,concept swap,-31.445799,-31.858555,0.412756,1
agent-properties,40,believe,doubt,indirect,antonym,concept swap,-16.362103,-17.856283,1.494181,1
agent-properties,41,believe,doubt,indirect,antonym,concept swap,-27.713072,-26.456173,-1.256899,0
agent-properties,42,believe,doubt,indirect,antonym,concept swap,-15.541461,-13.676577,-1.864884,0
agent-properties,43,believe,doubt,indirect,antonym,concept swap,-24.338175,-26.04084,1.702665,1
